Concelho ADENE,INE,Pordata,
ABRANTES,Abrantes,Abrantes,
AGUEDA,Águeda,Águeda,
AGUIAR DA BEIRA,Aguiar da Beira,Aguiar da Beira,
ALANDROAL,Alandroal,Alandroal,
ALBERGARIA-A-VELHA,Albergaria-a-Velha,Albergaria-a-Velha,
ALBUFEIRA,Albufeira,Albufeira,
ALCACER DO SAL,Alcácer do Sal,Alcácer do Sal,
ALCANENA,Alcanena,Alcanena,
ALCOBAÇA,Alcobaça,Alcobaça,
ALCOCHETE,Alcochete,Alcochete,
ALCOUTIM,Alcoutim,Alcoutim,
ALENQUER,Alenquer,Alenquer,
ALFANDEGA DA FE,Alfândega da Fé,Alfândega da Fé,
ALIJO,Alijó,Alijó,
ALJEZUR,Aljezur,Aljezur,
ALJUSTREL,Aljustrel,Aljustrel,
ALMADA,Almada,Almada,
ALMEIDA,Almeida,Almeida,
ALMEIRIM,Almeirim,Almeirim,
ALMODOVAR,Almodôvar,Almodôvar,
ALPIARÇA,Alpiarça,Alpiarça,
ALTER DO CHÃO,Alter do Chão,Alter do Chão,
ALVAIAZERE,Alvaiázere,Alvaiázere,
ALVITO,Alvito,Alvito,
AMADORA,Amadora,Amadora,
AMARANTE,Amarante,Amarante,
AMARES,Amares,Amares,
ANADIA,Anadia,Anadia,
ANSIÃO,Ansião,Ansião,
ARCOS DE VALDEVEZ,Arcos de Valdevez,Arcos de Valdevez,
ARGANIL,Arganil,Arganil,
ARMAMAR,Armamar,Armamar,
AROUCA,Arouca,Arouca,
ARRAIOLOS,Arraiolos,Arraiolos,
ARRONCHES,Arronches,Arronches,
ARRUDA DOS VINHOS,Arruda dos Vinhos,Arruda dos Vinhos,
AVEIRO,Aveiro,Aveiro,
AVIS,Avis,Avis,
AZAMBUJA,Azambuja,Azambuja,
BAIÃO,Baião,Baião,
BARCELOS,Barcelos,Barcelos,
BARRANCOS,Barrancos,Barrancos,
BARREIRO,Barreiro,Barreiro,
BATALHA,Batalha,Batalha,
BEJA,Beja,Beja,
BELMONTE,Belmonte,Belmonte,
BENAVENTE,Benavente,Benavente,
BOMBARRAL,Bombarral,Bombarral,
BORBA,Borba,Borba,
BOTICAS,Boticas,Boticas,
BRAGA,Braga,Braga,
BRAGANÇA,Bragança,Bragança,
CABECEIRAS DE BASTO,Cabeceiras de Basto,Cabeceiras de Basto,
CADAVAL,Cadaval,Cadaval,
CALDAS DA RAINHA,Caldas da Rainha,Caldas da Rainha,
CALHETA (MADEIRA),Calheta (R.A.M.),Calheta [R.A.M.],
CAMARA DE LOBOS,Câmara de Lobos,Câmara de Lobos,
CAMINHA,Caminha,Caminha,
CAMPO MAIOR,Campo Maior,Campo Maior,
CANTANHEDE,Cantanhede,Cantanhede,
CARRAZEDA DE ANSIÃES,Carrazeda de Ansiães,Carrazeda de Ansiães,
CARREGAL DO SAL,Carregal do Sal,Carregal do Sal,
CARTAXO,Cartaxo,Cartaxo,
CASCAIS,Cascais,Cascais,
CASTANHEIRA DE PERA,Castanheira de Pêra,Castanheira de Pêra,
CASTELO BRANCO,Castelo Branco,Castelo Branco,
CASTELO DE PAIVA,Castelo de Paiva,Castelo de Paiva,
CASTELO DE VIDE,Castelo de Vide,Castelo de Vide,
CASTRO DAIRE,Castro Daire,Castro Daire,
CASTRO MARIM,Castro Marim,Castro Marim,
CASTRO VERDE,Castro Verde,Castro Verde,
CELORICO DA BEIRA,Celorico da Beira,Celorico da Beira,
CELORICO DE BASTO,Celorico de Basto,Celorico de Basto,
CHAMUSCA,Chamusca,Chamusca,
CHAVES,Chaves,Chaves,
CINFÃES,Cinfães,Cinfães,
COIMBRA,Coimbra,Coimbra,
CONDEIXA-A-NOVA,Condeixa-a-Nova,Condeixa-a-Nova,
CONSTANCIA,Constância,Constância,
CORUCHE,Coruche,Coruche,
COVILHÃ,Covilhã,Covilhã,
CRATO,Crato,Crato,
CUBA,Cuba,Cuba,
ELVAS,Elvas,Elvas,
ENTRONCAMENTO,Entroncamento,Entroncamento,
ESPINHO,Espinho,Espinho,
ESPOSENDE,Esposende,Esposende,
ESTARREJA,Estarreja,Estarreja,
ESTREMOZ,Estremoz,Estremoz,
EVORA,Évora,Évora,
FAFE,Fafe,Fafe,
FARO,Faro,Faro,
FELGUEIRAS,Felgueiras,Felgueiras,
FERREIRA DO ALENTEJO,Ferreira do Alentejo,Ferreira do Alentejo,
FERREIRA DO ZEZERE,Ferreira do Zêzere,Ferreira do Zêzere,
FIGUEIRA DA FOZ,Figueira da Foz,Figueira da Foz,
FIGUEIRA DE CASTELO RODRIGO,Figueira de Castelo Rodrigo,Figueira de Castelo Rodrigo,
FIGUEIRO DOS VINHOS,Figueiró dos Vinhos,Figueiró dos Vinhos,
FORNOS DE ALGODRES,Fornos de Algodres,Fornos de Algodres,
FREIXO DE ESPADA A CINTA,Freixo de Espada à Cinta,Freixo de Espada à Cinta,
FRONTEIRA,Fronteira,Fronteira,
FUNCHAL,Funchal,Funchal,
FUNDÃO,Fundão,Fundão,
GAVIÃO,Gavião,Gavião,
GOIS,Góis,Góis,
GOLEGÃ,Golegã,Golegã,
GONDOMAR,Gondomar,Gondomar,
GOUVEIA,Gouveia,Gouveia,
GRANDOLA,Grândola,Grândola,
GUARDA,Guarda,Guarda,
GUIMARÃES,Guimarães,Guimarães,
IDANHA-A-NOVA,Idanha-a-Nova,Idanha-a-Nova,
ILHAVO,Ílhavo,Ílhavo,
LAGOA (ALGARVE),Lagoa,Lagoa,
LAGOS,Lagos,Lagos,
LAMEGO,Lamego,Lamego,
LEIRIA,Leiria,Leiria,
LISBOA,Lisboa,Lisboa,
LOULE,Loulé,Loulé,
LOURES,Loures,Loures,
LOURINHÃ,Lourinhã,Lourinhã,
LOUSÃ,Lousã,Lousã,
LOUSADA,Lousada,Lousada,
MAÇÃO,Mação,Mação,
MACEDO DE CAVALEIROS,Macedo de Cavaleiros,Macedo de Cavaleiros,
MACHICO,Machico,Machico,
MAFRA,Mafra,Mafra,
MAIA,Maia,Maia,
MANGUALDE,Mangualde,Mangualde,
MANTEIGAS,Manteigas,Manteigas,
MARCO DE CANAVESES,Marco de Canaveses,Marco de Canaveses,
MARINHA GRANDE,Marinha Grande,Marinha Grande,
MARVÃO,Marvão,Marvão,
MATOSINHOS,Matosinhos,Matosinhos,
MEALHADA,Mealhada,Mealhada,
MEDA,Mêda,Mêda,
MELGAÇO,Melgaço,Melgaço,
MERTOLA,Mértola,Mértola,
MESÃO FRIO,Mesão Frio,Mesão Frio,
MIRA,Mira,Mira,
MIRANDA DO CORVO,Miranda do Corvo,Miranda do Corvo,
MIRANDA DO DOURO,Miranda do Douro,Miranda do Douro,
MIRANDELA,Mirandela,Mirandela,
MOGADOURO,Mogadouro,Mogadouro,
MOIMENTA DA BEIRA,Moimenta da Beira,Moimenta da Beira,
MOITA,Moita,Moita,
MONÇÃO,Monção,Monção,
MONCHIQUE,Monchique,Monchique,
MONDIM DE BASTO,Mondim de Basto,Mondim de Basto,
MONFORTE,Monforte,Monforte,
MONTALEGRE,Montalegre,Montalegre,
MONTEMOR-O-NOVO,Montemor-o-Novo,Montemor-o-Novo,
MONTEMOR-O-VELHO,Montemor-o-Velho,Montemor-o-Velho,
MONTIJO,Montijo,Montijo,
MORA,Mora,Mora,
MORTAGUA,Mortágua,Mortágua,
MOURA,Moura,Moura,
MOURÃO,Mourão,Mourão,
MURÇA,Murça,Murça,
MURTOSA,Murtosa,Murtosa,
NAZARE,Nazaré,Nazaré,
NELAS,Nelas,Nelas,
NISA,Nisa,Nisa,
OBIDOS,Óbidos,Óbidos,
ODEMIRA,Odemira,Odemira,
ODIVELAS,Odivelas,Odivelas,
OEIRAS,Oeiras,Oeiras,
OLEIROS,Oleiros,Oleiros,
OLHÃO,Olhão,Olhão,
OLIVEIRA DE AZEMEIS,Oliveira de Azeméis,Oliveira de Azeméis,
OLIVEIRA DE FRADES,Oliveira de Frades,Oliveira de Frades,
OLIVEIRA DO BAIRRO,Oliveira do Bairro,Oliveira do Bairro,
OLIVEIRA DO HOSPITAL,Oliveira do Hospital,Oliveira do Hospital,
OUREM,Ourém,Ourém,
OURIQUE,Ourique,Ourique,
OVAR,Ovar,Ovar,
PAÇOS DE FERREIRA,Paços de Ferreira,Paços de Ferreira,
PALMELA,Palmela,Palmela,
PAMPILHOSA DA SERRA,Pampilhosa da Serra,Pampilhosa da Serra,
PAREDES,Paredes,Paredes,
PAREDES DE COURA,Paredes de Coura,Paredes de Coura,
PEDROGÃO GRANDE,Pedrógão Grande,Pedrógão Grande,
PENACOVA,Penacova,Penacova,
PENAFIEL,Penafiel,Penafiel,
PENALVA DO CASTELO,Penalva do Castelo,Penalva do Castelo,
PENAMACOR,Penamacor,Penamacor,
PENEDONO,Penedono,Penedono,
PENELA,Penela,Penela,
PENICHE,Peniche,Peniche,
PESO DA REGUA,Peso da Régua,Peso da Régua,
PINHEL,Pinhel,Pinhel,
POMBAL,Pombal,Pombal,
PONTA DO SOL,Ponta do Sol,Ponta do Sol,
PONTE DA BARCA,Ponte da Barca,Ponte da Barca,
PONTE DE LIMA,Ponte de Lima,Ponte de Lima,
PONTE DE SOR,Ponte de Sôr,Ponte de Sor,
PORTALEGRE,Portalegre,Portalegre,
PORTEL,Portel,Portel,
PORTIMÃO,Portimão,Portimão,
PORTO,Porto,Porto,
PORTO DE MOS,Porto de Mós,Porto de Mós,
PORTO MONIZ,Porto Moniz,Porto Moniz,
PORTO SANTO,Porto Santo,Porto Santo,
POVOA DE LANHOSO,Póvoa de Lanhoso,Póvoa de Lanhoso,
POVOA DE VARZIM,Póvoa de Varzim,Póvoa de Varzim,
PROENÇA-A-NOVA,Proença-a-Nova,Proença-a-Nova,
REDONDO,Redondo,Redondo,
REGUENGOS DE MONSARAZ,Reguengos de Monsaraz,Reguengos de Monsaraz,
RESENDE,Resende,Resende,
RIBEIRA BRAVA,Ribeira Brava,Ribeira Brava,
RIBEIRA DE PENA,Ribeira de Pena,Ribeira de Pena,
RIO MAIOR,Rio Maior,Rio Maior,
S. BRAS DE ALPORTEL,São Brás de Alportel,São Brás de Alportel,
S. JOÃO DA MADEIRA,São João da Madeira,São João da Madeira,
S. JOÃO DA PESQUEIRA,São João da Pesqueira,São João da Pesqueira,
S. PEDRO DO SUL,São Pedro do Sul,São Pedro do Sul,
S. VICENTE,São Vicente,São Vicente,
SABROSA,Sabrosa,Sabrosa,
SABUGAL,Sabugal,Sabugal,
SALVATERRA DE MAGOS,Salvaterra de Magos,Salvaterra de Magos,
SANTA COMBA DÃO,Santa Comba Dão,Santa Comba Dão,
SANTA CRUZ,Santa Cruz,Santa Cruz,
SANTA MARIA DA FEIRA,Santa Maria da Feira,Santa Maria da Feira,
SANTA MARTA DE PENAGUIÃO,Santa Marta de Penaguião,Santa Marta de Penaguião,
SANTANA,Santana,Santana,
SANTAREM,Santarém,Santarém,
SANTIAGO DO CACEM,Santiago do Cacém,Santiago do Cacém,
SANTO TIRSO,Santo Tirso,Santo Tirso,
SARDOAL,Sardoal,Sardoal,
SATÃO,Sátão,Sátão,
SEIA,Seia,Seia,
SEIXAL,Seixal,Seixal,
SERNANCELHE,Sernancelhe,Sernancelhe,
SERPA,Serpa,Serpa,
SERTÃ,Sertã,Sertã,
SESIMBRA,Sesimbra,Sesimbra,
SETUBAL,Setúbal,Setúbal,
SEVER DO VOUGA,Sever do Vouga,Sever do Vouga,
SILVES,Silves,Silves,
SINES,Sines,Sines,
SINTRA,Sintra,Sintra,
SOBRAL DE MONTE AGRAÇO,Sobral de Monte Agraço,Sobral de Monte Agraço,
SOURE,Soure,Soure,
SOUSEL,Sousel,Sousel,
TABUA,Tábua,Tábua,
TABUAÇO,Tabuaço,Tabuaço,
TAROUCA,Tarouca,Tarouca,
TAVIRA,Tavira,Tavira,
TERRAS DE BOURO,Terras de Bouro,Terras de Bouro,
TOMAR,Tomar,Tomar,
TONDELA,Tondela,Tondela,
TORRE DE MONCORVO,Torre de Moncorvo,Torre de Moncorvo,
TORRES NOVAS,Torres Novas,Torres Novas,
TORRES VEDRAS,Torres Vedras,Torres Vedras,
TRANCOSO,Trancoso,Trancoso,
TROFA,Trofa,Trofa,
VAGOS,Vagos,Vagos,
VALE DE CAMBRA,Vale de Cambra,Vale de Cambra,
VALENÇA,Valença,Valença,
VALONGO,Valongo,Valongo,
VALPAÇOS,Valpaços,Valpaços,
VENDAS NOVAS,Vendas Novas,Vendas Novas,
VIANA DO ALENTEJO,Viana do Alentejo,Viana do Alentejo,
VIANA DO CASTELO,Viana do Castelo,Viana do Castelo,
VIDIGUEIRA,Vidigueira,Vidigueira,
VIEIRA DO MINHO,Vieira do Minho,Vieira do Minho,
VILA DE REI,Vila de Rei,Vila de Rei,
VILA DO BISPO,Vila do Bispo,Vila do Bispo,
VILA DO CONDE,Vila do Conde,Vila do Conde,
VILA FLOR,Vila Flor,Vila Flor,
VILA FRANCA DE XIRA,Vila Franca de Xira,Vila Franca de Xira,
VILA NOVA DA BARQUINHA,Vila Nova da Barquinha,Vila Nova da Barquinha,
VILA NOVA DE CERVEIRA,Vila Nova de Cerveira,Vila Nova de Cerveira,
VILA NOVA DE FAMALICÃO,Vila Nova de Famalicão,Vila Nova de Famalicão,
VILA NOVA DE FOZ COA,Vila Nova de Foz Côa,Vila Nova de Foz Côa,
VILA NOVA DE GAIA,Vila Nova de Gaia,Vila Nova de Gaia,
VILA NOVA DE PAIVA,Vila Nova de Paiva,Vila Nova de Paiva,
VILA NOVA DE POIARES,Vila Nova de Poiares,Vila Nova de Poiares,
