Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Biodiesel;Grand Total
Lagoa (Algarve);0;0,729;37,478;4595,691224;269,020414;11720,62416;0;18,728;0;16642,2708
Lagos;0;0;91,822;3774,387;270,590242;10273,6032;0;2,595;0;14412,99744
Lajes das Flores;0;0;0;452,371416;0;782,49192;0;6,242;0;1241,105336
Lajes do Pico;0;0;0;1180,049656;32,109844;1615,9626;0;1,846;0;2829,9681
Lamego;0;2,5;48,991;1211,363752;93,480166;5338,5738;0;15,882;0;6710,790718
Leiria;0;1;568,092;11234,55112;1257,263332;92952,01124;0;1584,487;506,942;108104,3467
Lisboa;0;2;1364,21;54517,48604;2533,744616;179083,7818;633,67836;1081,266;600,713;239816,8799
Loulé;0;0;138,756;9484,246382;764,75581;29876,5106;0;65,037;0;40329,30579
Loures;0;11,825;626,764;19211,82901;717,976896;85607,23416;0;340,156;0;106515,7851
Lourinhã;0;0,904;128,976;1883,566448;207,788828;8729,08344;0;215,978;0;11166,29672
Lousã;0;0;69,367;1246,589872;52,413556;2530,83784;0;114,271;0;4013,479268
Lousada;0;0;77,421;2306,729726;481,25181;13138,4652;0;6,578;0;16010,44574
Mação;0;0;0;458,76762;72,261098;5648,05416;0;23,781;0;6202,863878
Macedo de Cavaleiros;0;0;0;220,983104;44,360082;2267,19024;0;0,368;0;2532,901426
Machico;0;0;0;1174,01377;18,745194;500,20572;0;0;0;1692,964684
Madalena;0;0;0;503,172524;14,00932;1978,09416;0;11,018;0;2506,294004
Mafra;0;0;179,448;4154,291976;262,11302;24270,54864;0;99,868;0;28966,26964
Maia;0;0;58,433;13768,10662;555,813362;55206,71268;0;894,473;0,075;70483,61366
Mangualde;0;7;17,619;2090,89999;118,708252;9373,32564;0;60,182;0;11667,73488
Manteigas;0;0;0;144,87693;9,041214;428,98296;0;0;0;582,901104
Marco de Canavezes;0;0;20,179;4080,557336;622,843208;14771,16228;0;42,469;0;19537,21082
Marinha Grande;0;0;232,609;2676,407042;179,4143;8914,66464;0;29,302;6,16;12038,55698
Marvão;0;0;0;0;0;12,50676;0;0;0;12,50676
Matosinhos;33;23,989;356,997;49668,7449;4669,20909;206712,7041;0;1798,859;632,195;263895,6981
Mealhada;0;0,533;57,106;2136,997568;180,015238;20722,75212;0;314,614;0;23412,01793
Meda;46,236;29,755;0;111,095812;6,546982;870,87672;0;2,204;0;1066,714514
Melgaço;0;0;0;106,816756;51,930242;677,02656;0;0;0;835,773558
Mértola;0;0;69,264;350,711758;9,653462;2108,02536;4,27728;13,397;0;2555,32886
Mesão Frio;0;0;0;293,469686;31,514938;10803,45672;0;0;0;11128,44134
Mira;0;0;0;615,324672;52,30875;2665,5426;0;2,346;0;3335,522022
Miranda do Corvo;0;0;0;347,900084;86,039694;2289,66864;0;3,975;0;2727,583418
Miranda do Douro;0;0;0;395,73808;24,247132;2384,36268;44,87868;3,622;0;2852,848572
Mirandela;0;0;0,11;1247,256796;411,77448;8280,23868;0;11,861;0;9951,240956
Mogadouro;0;0;0;422,285236;74,435634;1879,53108;0;11,222;0;2387,47395
Moimenta da Beira;0;0;0;778,281658;111,472868;2738,9124;0;1,015;0;3629,681926
Moita;0;0;324,151;3292,946948;59,91284;8394,7836;2,5578;21,549;0;12095,90119
Monção;0;0;0;809,853124;36,155808;5446,08036;0;3,52;0;6295,609292
Monchique;0;0;0;468,053828;80,785068;1677,57912;0;1,774;0;2228,192016
Mondim de Basto;0;0;0;301,519026;39,909974;2069,33748;0;1,268;0;2412,03448
Monforte;0;0;0;63,76062;0,003016;44,15544;0;0;0;107,919076
Montalegre;0;0;0;648,95659;50,036194;2157,666;0;0,36;0;2857,018784
Montemor-o-Novo;0;0;32,616;7004,900462;145,417948;12470,586;0;24,559;0;19678,07941
Montemor-o-Velho;0;0;107,35;882,420274;146,153098;4709,93712;0;12,779;0;5858,639492
Montijo;0;0;356,971;5784,43551;297,103898;25954,33012;0;32,308;0;32425,14853
Mora;0;0;33,026;287,067514;43,723706;1692,71844;0;0,828;0;2057,36366
Mortágua;0;0;5,597;507,653746;48,603594;2871,47028;0;5,169;0;3438,49362
Moura;0;0;28,606;492,484582;30,954716;2412,48252;0;1,608;0;2966,135818
Mourão;0;0;0;215,12029;0;817,6938;0;0;0;1032,81409
Murça;0;0;0;503,646234;78,403936;2494,81932;0;2,03;0;3078,89949
Murtosa;0;0;11,955;413,777852;3,375658;754,90128;0;0,266;0;1184,27579
Nazaré;0;0;0;1204,048476;65,312988;3639,30504;0;2,841;0;4911,507504
Nelas;0;0;0;2321,46248;72,01077;4140,8766;0;0,052;0;6534,40185
Nisa;0;0;0;399,24801;1,728168;1069,90464;0;0,065;0;1470,945818
Nordeste;0;0;0;352,82816;5,697224;645,13932;0;4,693;0;1008,357704
Óbidos;0;0;51,2;764,386662;56,251416;3850,46256;0;2,584;0;4724,884638
Odemira;0;0;47,611;2210,007096;178,755304;8256,30708;31,32864;9,615;0;10733,62412
Odivelas;0;1,566;241,494;7778,793402;207,332658;24400,00836;0;363,928;0;32993,12242
Oeiras;0;0;559,919;16454,45859;566,349758;49922,72816;0;1496,326;0;68999,78151
Oleiros;0;0;0;243,798768;10,555246;2974,85328;0;37,67;0;3266,877294
Olhão;0;0;89,454;3760,14586;376,084644;11633,77276;29,76372;57,572;0;15946,79298
Oliveira de Azeméis;0;0;74,091;2929,0944;379,801864;13695,38856;0;28,935;3,949;17111,25982
Oliveira de Frades;0;0;29,285;437,781148;46,287306;3029,7666;0;7,941;0;3551,061054
Oliveira do Bairro;0;0;94,629;2169,80441;255,042762;7605,75228;0;130,224;0;10255,45245
Oliveira do Hospital;0;0;34,059;2007,555378;381,48253;9082,01952;0;4,73;0;11509,84643
Ourique;0;0;7,975;430,98285;12,597832;2297,90652;1,68;4,322;0;2755,464202
Ovar;0;0;505,46;3282,734954;299,44733;14793,98844;0;53,57;0,396;18935,59672
Paços de Ferreira;0;12,414;405,961;5009,435506;551,388136;19491,5322;0;406,848;0,88;25878,45884
Palmela;0;0;441,977;5156,727238;295,162348;26004,2038;0;98,452;2,459;31998,98139
Pampilhosa da Serra;0;0;0;188,988656;41,78668;1287,59904;0;1,503;0;1519,877376
Paredes;0;0,939;60,647;4143,044534;364,88322;22355,62056;0;331,37;0,04;27256,54431
Paredes de Coura;0;0;0,264;423,931658;49,685584;1372,06104;0;2,429;0;1848,371282
Pedrogão Grande;0;0;0;146,632268;39,025532;815,49216;0;0,884;0;1002,03396
Penacova;0;8,199;27,561;591,113242;63,46041;3005,63424;0;4,037;0;3700,004892
Penafiel;0;12,685;146,145;5032,220584;734,18865;23031,28464;0;65,087;93,282;29114,89287
Penalva do Castelo;0;0;0;395,638116;52,275574;1313,51724;0;7,333;0;1768,76393
Penamacor;0;0;0;203,541624;40,311102;789,8478;0;0;0;1033,700526
Penedono;0;0;0;155,60441;16,87829;801,12312;0;0;0;973,60582
Penela;0;0;0;229,139868;40,971606;1954,55736;0;1,66;0,561;2226,889834
Peniche;0;0;0,605;5330,816036;107,281382;6552,59388;0;26,08;0;12017,3763
Peso da Régua;0;0;0;1654,491482;175,44072;6698,10372;1486,1196;4,543;0;10018,69852
Pinhel;0;0;0;204,66137;11,682476;2505,6572;0;1,288;0;2723,289046
Pombal;0;0;305,066;3612,78848;660,552256;36507,7532;0;932,009;28,704;42046,87294
Ponta Delgada;0,379;0;0;10000,63803;488,50906;27290,16108;0;441,998;0;38221,68517
Ponta do Sol;0;0;0;1015,991574;263,363906;2561,1894;0;0;0;3840,54488
Ponte da Barca;0;0;0;789,314998;72,84017;2432,20404;0;0;6,352;3300,711208
Ponte de Lima;0;0;93,557;2611,646036;273,009074;13101,97896;0;467,633;29,923;16577,74707
Ponte de Sôr;0;0;2,475;773,393866;101,5638;3283,36092;0;1,573;0;4162,366586
Portalegre;0;0;54,298;2275,402948;49,463908;9672,97968;0;22,241;0;12074,38554
Portel;0;0;0;234,8408;25,65108;1128,3678;0;0;0;1388,85968
Portimão;0;0;280,067;8957,258554;675,11275;24538,62352;1,26;40,47;0;34492,79182
Porto;4;0;695,128;25960,55084;1138,312292;76214,52032;2048,4828;335,336;25,776;106422,1062
Porto de Mós;0;0;155,152;1331,493624;247,561574;9378,82848;0;84,753;0;11197,78868
Porto Moniz;0;0;0;119,392824;36,355618;297,4314;0;0;0;453,179842
Porto Santo;0;0;0;645,097532;0;1465,30188;0;0,033;0;2110,432412
Póvoa de Lanhoso;0;0;1,688;710,384468;148,641298;3480,70044;0;14,014;10,085;4365,513206
Póvoa de Varzim;0;0;268,867;5308,602394;281,651422;23253,22608;0;101,677;8,027;29222,0509
Povoação;0;0;0;895,829624;44,513898;1758,65256;0;0;0;2698,996082
Proença-a-Nova;0;0;0;428,553128;23,846004;2079,08148;0;1,278;0;2532,758612
Redondo;0;0;0;332,14531;2,173028;1571,36616;0;0;0;1905,684498
Reguengos de Monsaraz;0;0;0;529,168386;11,154676;2104,1958;4,29828;5,32;0;2654,137142
Resende;0;0;0,869;556,63536;94,21607;1838,0922;0;2,326;0;2492,13863
Ribeira Brava;0;0;0;1257,626942;478,419786;5719,87668;0;94,012;0;7549,935408
Ribeira de Pena;0;0;0;318,645694;45,159322;1031,22516;0;3,034;0;1398,064176
Ribeira Grande;0;0;0;1907,771164;157,53322;2128,06188;0;17,362;0;4210,728264
Rio Maior;0;0;147,562;1398,350144;202,022236;8441,76648;0;9,993;0;10199,69386
Sabrosa;0;0;0;325,499942;26,331188;1406,96136;0;0,356;3,6;1762,74849
Sabugal;0;0;10,091;614,16315;45,788912;3300,33396;0;3,285;0;3973,662022
Salvaterra de Magos;0;0;71,82;1250,472802;87,322248;7280,89068;0;43,76;0;8734,26573
Santa Comba Dão;0;0;60,362;784,587596;53,366612;3918,23796;0;1,143;0;4817,697168
Santa Cruz;0;5,266;0;2939,487672;707,914766;7644,74256;0;42,168;0;11339,579
Santa Cruz da Graciosa;0;0;0;498,440646;6,786;642,579;0;0;0;1147,805646
Santa Cruz das Flores;0;0;0;0;0;14,17668;0;0;0;14,17668
Santa Marta de Penaguião;0;0;0;175,263748;10,081734;751,27332;0;0;0;936,618802
Santana;0;0;0;948,820988;317,863026;3482,70636;0;0;0;4749,390374
Santarém;0;0;474,026;6391,137168;582,897042;36351,66904;0;109,889;0;43909,61825
Santiago do Cacém;0;0;18,07;2202,074878;156,558298;11987,9046;56,88648;23,303;0;14444,79726
Santo Tirso;0;0;178,672;8821,481332;668,687168;28276,51288;0;38,688;0;37984,04138
São Brás de Alportel;0;0;0;817,506338;29,734744;2945,05008;0;4,801;0;3797,092162
São João da Madeira;0;0;348,224;1844,556616;151,835242;8637,10176;0;1,57;0,38;10983,66762
São João da Pesqueira;0;0;0;879,860748;122,224154;1771,64316;0;0,235;0;2773,963062
São Pedro do Sul;0;0;0;909,036062;83,330572;2838,28608;0;34,531;0;3865,183714
São Roque do Pico;0;0;0;77,043896;0;244,19892;0;0;0;321,242816
São Vicente;0;0;0;725,595408;248,844128;2302,70628;0;0,81;0;3277,955816
Sardoal;0;0;0;319,279048;2,81619;1125,73188;0;0,913;0;1448,740118
Sátão;0;0;3,011;585,077356;35,910758;6001,83024;0;0;0;6625,829354
Seia;0;0;51,937;1858,45385;164,229494;5694,97656;0;2,529;0;7772,125904
Seixal;0;0;480,578;12185,91895;436,647432;35430,35816;0;112,79;0;48646,29254
Sernancelhe;0;0;0;277,625392;46,138768;1166,30892;0;3,58;0;1493,65308
Serpa;0;0;78,633;479,478818;38,474358;2892,21156;9,051;1,438;0;3499,286736
Sertã;0;0;30,603;817,935288;89,781042;9636,27924;0;262,927;0;10837,52557
Sesimbra;0;0;0,055;4520,025936;148,870514;14375,93724;0;13,298;70,502;19128,68869
Setúbal;0;0,65;37,539;12890,57041;683,950384;66973,53492;1306,36968;408,897;0;82301,51139
Sever do Vouga;0;0;154,342;618,092332;67,081872;3141,5664;0;10,364;0;3991,446604
Silves;0;0;113,71;3266,969736;233,01239;11650,7878;0;6,671;0;15271,15093
Sines;0;0;89,274;9529,953056;700,00983;35834,8746;19,77528;104,048;0;46277,93477
Sintra;0;0;708,966;25953,05503;947,914474;81228,68376;0;341,208;1,76;109181,5873
Sobral de Monte Agraço;0;5,5;13,656;419,864466;53,79413;2041,22352;0;3,376;0;2537,414116
Soure;0;0;72,934;1035,753114;189,90621;5081,41452;0;5,227;0;6385,234844
Sousel;0;0;0;208,29066;3,206008;2650,83336;37,11372;0;0;2899,443748
Tábua;0;0;0;843,701382;38,368798;3289,03176;0;7,339;0;4178,44094
Tabuaço;0;0;0;74,58508;29,576404;424,19244;0;0;0;528,353924
Tarouca;0;0;0;1137,736536;65,399698;2767,4808;0;5,913;0;3976,530034
Tavira;0;0;16,887;3150,706382;89,170302;11345,69292;0;2,135;0;14604,5916
Terras do Bouro;0;0;12,095;409,089242;15,731456;1399,41144;0;0,519;0;1836,846138
Tomar;0;0;109,865;3021,929624;266,846632;10999,47408;0;10,528;0;14408,64334
Tondela;0;0;157,093;2526,867612;328,941548;9020,76084;0;2,824;0;12036,487
Torre de Moncorvo;0;0;12,022;260,971688;35,38145;1806,98112;0;19,478;0;2134,834258
Torres Novas;0;0;198,734;2656,83797;199,38022;17647,46844;0;86,436;6,16;20795,01663
Torres Vedras;0;0;982,386;7086,053326;569,646246;51242,41836;0;237,414;0;60117,91793
Trancoso;0;0;0;385,996066;141,433058;2485,43904;0;0,401;0;3013,269164
Trofa;0;0;154,794;3689,204244;202,014696;20257,95156;0;340,056;0,039;24644,0595
Vagos;0;0;13,987;1615,480904;218,673572;6912,37848;0;124,033;0;8884,552956
Vale de Cambra;0;0;40,799;1782,170128;177,15607;7344,07044;0;48,779;0;9392,974638
Valença;0;0,499;41,634;402,675134;21,657142;3142,2972;0;1,594;0;3610,356476
Valongo;0;0;463,92;10176,73655;453,67803;37808,24628;0;25,113;0;48927,69386
Valpaços;0;0;0;579,838944;40,882634;2841,97368;0;12,719;0;3475,414258
Velas;0;0;0;653,851842;11,31;1359,27288;0;3,692;0;2028,126722
Vendas Novas;0;0;0;969,503092;98,810192;5808,16824;0;1,301;67,415;6945,197524
Viana do Alentejo;0;0;0;38,622658;9,675328;539,80648;0;135,77;0;723,874466
Viana do Castelo;0;14;92,246;6962,045;385,068554;23859,43208;665,56392;140,095;7,436;32125,88655
Vidigueira;0;0;0;363,119976;40,549366;1516,18068;0;2,398;0;1922,248022
Vieira do Minho;0;0;30,096;584,58425;91,444366;2022,93924;0;0;0;2729,063856
Vila de Rei;0;0;0;168,111846;3,60035;867,0732;0;0;0;1038,785396
Vila do Bispo;0;0;0;302,23071;24,94986;648,60432;0;0;0;975,78489
Vila do Conde;0;0;129,945;4337,08361;196,204372;24757,54512;0;181,173;4,754;29606,7051
Vila do Porto;0;0;0;1044,785682;35,850438;1650,37908;0;3,488;0;2734,5032
Vila flor;0;0;0;182,097108;80,435212;1511,75324;0;1,856;0;1776,14156
Vila Franca de Xira;0;3,233;323,31;9308,190382;413,475504;46222,03572;0;384,091;0;56654,33561
Vila Franca do Campo;0;0;0;631,18687;22,385506;362,54904;0;4,851;0;1020,972416
Vila Nova da Barquinha;0;0;0;266,313794;19,359704;872,05524;0;592,006;0;1749,734738
Vila Nova de Cerveira;0;0;0,22;278,103578;4,500626;931,60704;0;0;0;1214,431244
Vila Nova de Famalicão;0;0;719,378;10288,56568;934,318346;39217,12872;0;92,078;1,286;51252,75474
Vila Nova de Foz Côa;0;0;0;396,369942;33,753564;1588,3266;0;0,107;0;2018,557106
Vila Nova de Gaia;0;1,136;1382,057;25207,6384;1131,303108;87733,72192;0;1289,838;0;116745,6944
Vila Nova de Ourém;0;0;59,455;4498,584404;810,556786;60059,53548;0;23,625;0;65451,75667
Vila Nova de Paiva;0;0;0;485,578114;60,973718;893,5668;0;305,6;0;1745,718632
Vila Nova de Poiares;0;0;0;275,291158;85,946952;1904,43792;0;69,907;0;2335,58303
Vila Pouca de Aguiar;0;0;0,539;630,361048;73,48484;3684,97584;0;0,612;0;4389,972728
Vila Praia da Vitória;0;0;0;1695,617716;80,025036;3594,48852;0;9,753;0;5379,884272
Vila Real;0;0;225,21;5235,537662;685,881378;28012,46868;0;216,967;0;34376,06472
Vila Real de Santo António;0;0;90,474;1471,725958;107,319836;6811,7704;0;4,902;0;8486,192194
Vila Velha de Rodão;0;0;33,095;430,982104;27,634854;3245,48724;0;4,754;0;3741,953198
Vila Verde;0;0;103,77;4022,399176;729,245426;16999,14804;1,06512;1,121;0;21856,74876
Vila Viçosa;0;0;0;283,932822;26,677274;944,07516;0;1,301;0;1255,986256
Vimioso;0;0;0;26,07643;21,942154;245,58744;0;0;0;293,606024
Vinhais;0;0;22,126;256,46361;56,332094;1404,15576;0;1,021;0;1740,098464
Viseu;35;0;518,536;10031,56196;669,486402;45077,571;0;785,868;0;57118,02337
Vizela;0;0;57,654;1241,476042;160,586166;5627,86224;0;3,408;1,222;7092,208448
