Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Biodiesel;Grand Total
Abrantes;0;0;109,713;2779,907828;240,705452;12902,11944;0;23,002;0;16055,44772
Águeda;0;0;95,836;3162,719966;359,210878;16898,21112;0;878,313;0;21394,29096
Aguiar da Beira;0;0;15,582;338,051392;84,267794;2443,61964;0;12,052;0;2893,572826
Alandroal;0;0;0;58,73258;0;142,44132;0;0,175;0;201,3489
Albergaria-a-Velha;0;2,362;148,085;2413,270462;309,38505;17462,26356;139,89528;41,941;0;20517,20235
Albufeira;0;2,019;144,717;6181,472376;318,355388;21396,81872;0;47,433;0;28090,81548
Alcácer do Sal;0;0;21,754;1762,524218;82,748484;8385,58476;15,771;540,102;0;10808,48446
Alcanena;0;25,386;105,848;42164,48174;3929,093246;124019,6731;0;144,646;0;170389,1281
Alcobaça;0;0;547,831;7086,991794;588,920748;34438,45272;0;307,195;0;42969,39126
Alcochete;0;0;139,504;2098,883682;114,391602;14226,61928;0;39,627;0;16619,02556
Alcoutim;0;0;0;117,055606;0;715,16424;0;0,515;0;832,734846
Alenquer;0;1;6,255;2453,553716;147,804358;21427,86072;0;893,896;47,52;24977,88979
Alfândega da Fé;0;0;0;2979,359134;298,170054;29137,42524;0;0;0;32414,95443
Alijó;0;0;0;569,185318;91,1963;2733,6078;0;1,598;0;3395,587418
Aljezur;0;0;0;1066,93666;22,456382;3809,4252;0;2,652;0;4901,470242
Aljustrel;0;0;36,313;1025,790284;101,610548;5930,73452;0;177,223;0;7271,671352
Almada;0;3,215;98,735;18217,75865;737,29513;49294,86408;0;106,176;9,152;68467,19586
Almeida;0;0;0;191,851804;10,914904;3928,1088;0;1,067;0;4131,942508
Almeirim;0;0;134,262;1736,179974;117,12259;8374,0482;0;9,178;0;10370,79076
Almodôvar;0;0;31,438;1048,908824;142,000066;7104,1866;0;46,916;0;8373,44949
Alpiarça;0;0;0;402,26558;20,99513;1537,73424;0;1,075;0;1962,06995
Alter do Chão;0;0;0,66;152,428688;18,846984;653,2512;7,65492;0,215;0;833,056792
Alvaiázere;0;0;16,126;530,881202;153,108748;4769,40828;0;49,886;0;5519,41023
Alvito;0;0;2,58;30,836656;0;85,67916;0;0;0;119,095816
Amadora;0;0;323,076;17535,46183;823,37931;39248,62452;0;58,688;0;57989,22966
Amarante;0;0;88,323;3472,691918;374,965708;12169,94436;0;112,93;0;16218,85499
Amares;0;0;5,544;675,183712;28,083484;3087,027;0;21,555;0;3817,393196
Anadia;0;0;0;1567,729444;237,111888;5659,43784;0;19,517;0;7483,796172
Angra do Heroismo;0;0;0;4791,048482;317,553886;9139,92576;0;137,923;0;14386,45113
Ansião;0;0;21,271;1032,9862;185,434236;2862,63348;0;254,928;0;4357,252916
Arcos de Valdevez;14,98;6,655;31,236;1752,464408;230,669712;7218,477;0;28,198;44,54;9327,22012
Arganil;0;0;0;779,154478;158,296268;2656,98048;0;55,201;0;3649,632226
Armamar;0;0;12,071;313,417726;26,304044;2947,85232;0;2,021;0;3301,66609
Arouca;0;0;0;1318,575888;149,757972;4913,36664;0;40,964;0;6422,6645
Arraiolos;0;0;0;331,687266;34,161478;1716,77016;0,98028;0;0;2083,599184
Arronches;0;0;0;217,162838;0;567,40488;2,1;0;0;786,667718
Arruda dos Vinhos;0;0;27,616;675,852128;50,503674;4950,55344;0;301,235;0;6005,760242
Aveiro;0;1,851;555,984;14410,53273;937,310218;81430,60284;0;224,09;126,34;97686,71079
Avis;0;0;0;540,206948;88,963706;2403,34584;0;0,032;0;3032,548494
Azambuja;1521,334;1033,076;231,022;21390,10947;1750,981024;112968,272;0;876,543;0;139771,3375
Baião;0;0;0,055;456,312534;26,809224;2083,68044;0;12,211;0;2579,068198
Barcelos;0;0;290,494;7188,688752;531,507418;28856,38392;0;189,839;46,634;37103,54709
Barrancos;0;0;5,984;52,806356;0;259,76748;0;0;0;318,557836
Barreiro;20;12,392;607,596;11404,23628;505,341356;37213,04916;0;146,928;0;49909,5428
Batalha;0;0;129,625;1000,007032;188,965972;6818,75628;0;109,23;0;8246,584284
Beja;0;15,18;152,004;2130,78861;155,664054;12288,297;227,20152;45,583;0;15014,71818
Belmonte;0;0;0;579,785232;21,350264;2711,51244;0;13,096;0;3325,743936
Benavente;0;0;84,726;1912,800696;83,825196;14511,53864;0;40,637;0;16633,52753
Bombarral;0;0;0;681,367306;62,998208;3782,86524;0;5,274;0;4532,504754
Borba;0;0;0;444,889782;49,728562;1994,52792;0;0,216;0;2489,362264
Boticas;0;0;11,575;207,871408;22,923862;845,66412;0;0;0;1088,03439
Braga;0;0,822;938,213;20047,27665;1384,233916;86135,33244;1,66572;994,009;491,787;109993,3397
Bragança;0;0;5,367;2735,893082;251,102358;14755,70124;0;39,615;0;17787,67868
Cabeceiras de Basto;0;0;59,6;882,876826;228,731932;6143,14176;0;1,526;0;7315,876518
Cadaval;0;0;0;402,218582;42,072446;3007,2714;0;6,273;0;3457,835428
Caldas da Rainha;0;0;432,648;6345,82289;515,266258;37100,42196;772,674;165,33;0;45332,16311
Calheta (Açores);0;0;0;201,26334;11,169756;-4,20756;0;8,226;0;216,451536
Calheta (Madeira);0;0;0;557,191876;159,843476;1695,74916;0;0,204;0;2412,988512
Câmara de Lobos;0;0;0;1671,858362;544,141442;4193,2926;0;9,634;0;6418,926404
Caminha;0;0;0;846,23629;45,132932;3137,64024;0;0,375;0;4029,384462
Campo Maior;0;0;0;475,204238;0;1253,45724;6,40416;0,046;0;1735,111638
Cantanhede;0;2,628;171,833;2797,012116;642,188586;18789,4476;0;435,838;0;22838,9473
Carrazeda de Ansiães;0;0;0;245,152758;155,051806;2139,62196;0;4,497;0;2544,323524
Carregal do Sal;0;-0,458;28,724;912,71235;131,329458;2966,72964;0;0,499;0;4039,536448
Cartaxo;0;0;0;1703,250788;108,514926;4825,51356;0;3,143;0;6640,422274
Cascais;0;0;220,463;22811,45954;1482,215462;54066,39924;0;255,214;0;78835,75125
Castanheira de Pêra;0;0;0;122,588688;4,753216;731,91888;0;0;0;859,260784
Castelo Branco;0;4;136,084;5067,751818;303,129866;25857,6528;0;469,133;0;31837,75148
Castelo de Paiva;0;0;59,146;1920,955968;199,111796;6008,03532;0;12,109;0;8199,358084
Castelo de Vide;0;0;0;230,370768;7,467616;898,13304;0;0;0;1135,971424
Castro d’Aire;0;0;7,069;847,390352;134,98485;4789,81692;0;246,43;0;6025,691122
Castro Marim;0;0;0;439,566326;5,263674;1912,06344;0;0,649;0;2357,54244
Castro Verde;0;0;10,657;459,466622;52,232596;3359,85048;6,80484;2,834;0;3891,845538
Celorico da Beira;0;0;0;416,798406;39,95446;3296,64068;0;0,341;0;3753,734546
Celorico de Basto;0;0;4,772;745,670268;94,32163;3160,71672;0;0,244;0,027;4005,751618
Chamusca;0;0;0;641,592824;55,46801;4318,30896;0;3,248;0,057;5018,674794
Chaves;0;5,266;33,246;1967,498908;140,318646;12846,1578;0;16,911;0;15009,39835
Cinfães;0;0;0;778,706132;84,897384;2607,4524;0;0;0;3471,055916
Coimbra;0;0,64;1328,263;14539,62131;854,593402;58161,57396;1,68;262,613;0;75148,98468
Condeixa-a-Nova;0;0;57,808;1206,258874;63,53958;9471,84084;0;0,967;0;10800,41429
Constância;0;0;0;307,668304;4,51269;965,64888;0;0,267;0;1278,096874
Coruche;0;0;0;849,591798;128,30064;5649,54852;0;7,766;0;6635,206958
Corvo;0;0;0;22,401634;0;50,42688;0;0;0;72,828514
Covilhã;0;0;34,873;2363,084058;230,513634;10141,97268;0;20,81;0;12791,25337
Crato;0;0;3;239,169838;3,776032;722,1018;0;0,021;0;968,06867
Cuba;0;0;14,67;227,715008;5,67008;1246,45332;0;0;0;1494,508408
Elvas;0;0;22,736;1252,13489;46,354412;8803,2546;0;9,984;0;10134,4639
Entroncamento;0;0;0;1475,35301;116,719954;4133,34096;1009,1466;0,618;0;6735,178524
Espinho;0;0;25,724;2910,91811;179,947378;6260,51412;0;7,151;1,751;9386,005608
Esposende;0;0;91,661;2647,639044;125,134594;8917,03596;0;1,807;0,585;11783,8626
Estarreja;0;4,564;239,628;2373,225928;219,822668;11100,32532;0;7,066;0;13944,63192
Estremoz;0;0;42,868;1203,218178;217,083386;8138,86248;0;22,023;0;9624,055044
Évora;0;11;121,327;3941,098604;184,248948;19046,4414;11,13168;869,618;0;24184,86563
Fafe;0;0;32,245;3738,963936;597,496744;18226,24608;0;2,933;0;22597,88476
Faro;0;0;416,429;10870,00628;462,73357;27767,78844;969,21384;219,481;0;40705,65213
Feira;0;0;221,485;10187,70797;1036,381294;37149,9324;0;57,205;38,211;48690,92266
Felgueiras;0;0;57,84;3051,399608;449,526506;17010,24612;0;13,081;0;20582,09323
Ferreira do Alentejo;0;0;1,415;246,302344;73,14931;1758,42072;0;2,098;0;2081,385374
Ferreira do Zêzere;0;0;14,1;519,423388;26,298012;3288,27492;0;224,546;0;4072,64232
Figueira da Foz;0;0;3010,096;5627,681514;775,599838;25208,51508;0;67,66;0;34689,55243
Figueira de Castelo Rodrigo;0;0;3,238;153,533514;6,026722;976,06656;0;0;0;1138,864796
Figueiró dos Vinhos;0;0;0;419,743614;144,525966;2284,18932;0;1,993;0;2850,4519
Fornos de Algodres;0;0;0;192,529918;2,664636;944,44228;0;0,293;0;1139,929834
Freixo de Espada à Cinta;0;0;0;64,098558;6,683456;651,41496;0;3,4;0;725,596974
Fronteira;0;0;0;201,507282;8,153002;1073,77872;9,8364;0;0;1293,275404
Funchal;0;3,722;80,241;14027,47814;2593,747936;42764,21772;0;134,729;0;59604,1358
Fundão;136;60;46,811;1467,130598;129,512318;7336,49364;0;187,937;0;9363,884556
Gavião;0;0;0;0;0;0;0;1,964;0;1,964
Góis;0;0;0;132,036778;38,37106;631,45068;0;0,185;0;802,043518
Golegã;0;0;0;27,51248;0;266,45472;0;2,415;0;296,3822
Gondomar;0;0;258,331;14497,32013;507,650858;36957,44892;0;337,507;0;52558,25791
Gouveia;0;0;6,5;671,416412;74,541194;2389,84788;0;2,906;0;3145,211486
Grândola;0;0;142,274;2367,892774;204,916088;17161,32348;19,14276;11,064;0;19906,6131
Guarda;0;0;91,032;3243,520718;220,18685;17308,13784;0;64,356;0;20927,23341
Guimarães;0;0;861,299;11524,95102;964,413502;48539,58248;0;193,11;843,854;62927,21
Horta;0;0;0;1930,249636;56,642742;2486,20428;0;8,586;0;4481,682658
Idanha-a-Nova;0;0;0;255,38191;6,92926;1946,91;0;0,5;0;2209,72117
Ílhavo;0;2,437;0;2090,33303;86,54789;9319,56312;0;558,646;0;12057,52704
Lagoa (Açores);0;0;0;1255,865636;80,302508;1172,39976;0;8,761;0;2517,328904
