Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Petróleo Iluminante / Carburante;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Valpaços;0;0;0;419,952494;104,977158;0;2656,24548;0;0;0;0;3181,175132
Velas;0;0;0;484,174142;33,506252;0;2245,81476;0;0;0;0;2763,495154
Vendas Novas;0;0;0;1089,140604;83,571098;0;5096,59668;20,46828;0;0;120,18;6409,956662
Viana do Alentejo;0;0;0;350,314886;27,041338;0;1699,0856;0;0;0;0;2076,441824
Viana do Castelo;0;0;57,065;7786,618942;604,419972;0;25035,5636;429,39288;0;15,215;5,817;33934,09239
Vidigueira;0;0;0;435,982542;51,3851;0;1532,38008;0;0;0;0;2019,747722
Vieira do Minho;0;0;0;790,900248;103,990172;0;2425,37652;0;0;0;0;3320,26694
Vila de Rei;0;0;0;204,987372;43,949152;0;855,96588;0;0;0;0;1104,902404
Vila do Bispo;0;0;0;426,43971;32,061588;0;680,08164;0;0;0;0;1138,582938
Vila do Conde;0;0;116,473;7843,653626;434,108898;0;27036,55828;0;0;4,828;33,234;35468,8558
Vila do Porto;0;0;0;408,808;20,358;0;890,4;0;0;0;0;1319,566
Vila flor;0;0;0;289,948566;110,821412;0;2155,15704;0;0;2,195;0;2558,122018
Vila Franca de Xira;0;1,943;190,682;9228,648132;388,71865;0;50835,57284;0;0;10,111;73,04;60728,71562
Vila Franca do Campo;0;0;0;976,265582;34,423116;0;1318,02552;0;0;0;0;2328,714218
Vila Nova da Barquinha;0;0;0;282,067076;22,478248;0;668,72568;0;0;0;0;973,271004
Vila Nova de Cerveira;0;0;0,495;208,39883;14,580852;0;1050,87108;0;0;0,182;0;1274,527762
Vila Nova de Famalicão;0;0;899,627;10930,9418;816,494536;0;35727,13948;0;0;1,985;86,958;48463,14582
Vila Nova de Foz Côa;0;0;0;361,110252;51,56229;0;2322,09936;0;0;0;0;2734,771902
Vila Nova de Gaia;0;2,212;692,687;27550,33129;1573,978;0;114715,2588;0;0,69121;18,214;12,471;144565,8433
Vila Nova de Ourém;0;0;34,408;3988,788146;878,449208;0;59643,7338;0;0;5,446;0,095;64550,92015
Vila Nova de Paiva;0;0;0;450,327376;36,0412;0;1613,619;0;45,965465;0;0;2145,953041
Vila Nova de Poiares;0;0;0;155,214252;46,4464;0;923,43216;0;0;5,595;0;1130,687812
Vila Pouca de Aguiar;0;0;2,057;750,389464;103,06049;0;4358,93556;0;0;0;0;5214,442514
Vila Praia da Vitória;0;0;0;2435,229718;153,35229;0;6179,56752;0;0;0;0;8768,149528
Vila Real;0;0;121,589;4150,614942;559,238784;0;24179,71668;0;0;3,388;0,081;29014,62841
Vila Real de Santo António;0;0;79,198;1185,242562;86,840442;0;6262,9938;0;0;1,298;0;7615,572804
Vila Velha de Rodão;0;0;62,062;558,081854;35,50529;0;3922,327;0;0;0;0;4577,976144
Vila Verde;0;0;0;5739,29505;949,822094;0;22377,7722;0;0;0;6,268;29073,15734
Vila Viçosa;0;0;0;375,10372;40,209312;0;1141,60116;0;0;0;0;1556,914192
Vimioso;0;0;0;53,896262;28,281786;0;547,84632;0;0;0;0;630,024368
Vinhais;0;0;0;219,513484;50,52931;0;862,43976;0;0;0;0;1132,482554
Viseu;0;0;416,747;8425,962576;655,218828;0;41403,45612;25,99044;396,114875;5,55;0,138;51329,17784
Vizela;0;0;23,791;1143,813452;171,085616;0;4582,29996;0;0;0;0;5920,990028
Vouzela;0;0;93,901;612,069874;117,219102;0;2109,72008;0;0;0;0;2932,910056
Grand Total;2291,533;1491,038;26347,154;1139314,992;103939,3722;11,316864;4311063,971;17521,77168;2079,273755;1622,424;4507,298;5610190,145
