Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Petróleo Iluminante / Carburante;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Cartaxo;0;0;0;1237,152972;54,081404;0;3428,60448;0;0;0;0;4719,838856
Cascais;0;0;161,465;22840,32825;1458,055592;0;50551,99412;0;0;38,542;0,905;75051,28996
Castanheira de Pêra;0;0;0;135,741414;30,701372;0;757,05588;0;0;0;0;923,498666
Castelo Branco;0;0;63,316;3745,248986;312,86476;0;19807,10952;268,22376;0;5,391;0;24202,15403
Castelo de Paiva;0;0;27,627;1609,790416;229,301956;0;5006,51508;0;0;0;0;6873,234452
Castelo de Vide;0;0;1,65;179,88298;7,104942;0;787,12368;0;0;0;0;975,761602
Castro d’Aire;48,333;19,365;18,57;876,052418;163,646652;0;4181,7342;0;0;5,549;0,067;5313,31727
Castro Marim;0;0;0;210,413776;12,484732;0;785,94192;0;0;0;0;1008,840428
Castro Verde;0;0;0;464,686384;65,534664;0;3155,38272;0;0;0;0;3685,603768
Celorico da Beira;0;0;0;500,281774;83,089292;0;3556,54284;0;0;0;0;4139,913906
Celorico de Basto;0;0;3,465;832,83067;223,965898;0;3125,22;0;0;0;0;4185,481568
Chamusca;0;0;0;716,067496;68,911076;0;3437,75124;0;0;0;0;4222,729812
Chaves;0;0;24,037;2026,543316;261,28362;0;12633,57312;0;0;8,784;10,56;14964,78106
Cinfães;0;0;0;723,197764;147,029246;0;2795,95344;0;0;0;0;3666,18045
Coimbra;0;0;854,942;23986,15814;2157,125754;0;76536,124;0;0;63,655;18,656;103616,6609
Condeixa-a-Nova;0;0;90,471;1030,292394;75,424882;0;8063,70348;0;0;0;0;9259,891756
Constância;0;0;0;312,366612;15,757092;0;1091,6892;0;0;0;0;1419,812904
Coruche;0;44,902;0;1215,14075;264,810832;0;6463,95852;0;0;6,075;0;7994,887102
Corvo;0;0;0;0;0;0;6,72;0;0;0;0;6,72
Covilhã;0;0;56,633;2815,8889;287,540916;0;10541,75452;0;0;4,143;0;13705,96034
Crato;0;0;0;287,73966;21,307286;0;1066,29684;0;0;0;0;1375,343786
Cuba;103,5;83,325;0;160,560088;23,130458;0;868,22064;0;0;0;0;1238,736186
Elvas;0;0;46,813;961,423912;58,890416;0;6616,5708;0;0;0;0;7683,698128
Entroncamento;0;0;0,385;2659,354974;225,380402;0;7600,5678;2433,36996;0;0,758;0,285;12920,10114
Espinho;0;0;24,478;3204,114014;219,809096;0;6558,23532;0;0;0;0;10006,63643
Esposende;0;0;0,869;2815,62407;185,643094;0;6559,56336;0;0;0;2,183;9563,882524
Estarreja;0;0;231,11;2572,175176;361,42613;0;11560,45548;0;0;12,486;0;14737,65279
Estremoz;0;0;95,833;1512,188252;245,084684;0;7654,06572;0;0;0;0;9507,171656
Évora;0;0;158,344;4897,58325;307,660652;0;19724,63444;727,52736;118,62617;0;0;25934,37587
Fafe;0;0;0,44;4537,911286;905,102906;0;18857,12388;0;0;0;0;24300,57807
