Município;Butano;Propano;Gás auto;Gasolina s/ chumbo 95;Gasolina s/ chumbo 95 especial;Gasolina s/ chumbo 98   ;Gasolina s/ chumbo 98 Especial;Petróleo iluminante   ;Petróleo carburante;Gasóleo;Gasóleo Especial;Gasóleo colorido;Gasóleo colorido p/ aquecimento;Biodiesel;Biodiesel B10;Biodiesel B15;Biodiesel B20;Lubrificantes;Asfaltos;Total
Barrancos;0;0;0;49,206432;0;0;0;0;0;224,276661;0;0;0;0;0;0;0;0;0;273,483093
Barreiro;0;4,182;80,14;9669,21274;72,645012;388,2375;298,64175;0;0;33639,21581;742,841685;-21,3435;0;0;0;0;0;19,786;0;44893,559
Batalha;0;0;147,604;1185,15364;0;229,827;78,72;0;0;5307,139953;246,125709;0;0;0;0;0;0;0;0;7194,570302
Beja;0;0;136,167;2856,430236;166,375396;121,5735;136,66875;0;0;12728,52433;590,735349;2816,761122;91,727667;0;0;0;0;5,574;0;19650,53735
Belmonte;66,849;17,839;0;528,729036;31,340452;41,33475;68,41725;0;0;2164,846095;75,166785;0;0;0;0;0;0;0;0;2994,522368
Benavente;0;0;107,527;2898,62716;11,436172;67,374;183,153;0;0;13251,26264;398,852262;0;0;11;0;0;0;6,839;0;16936,07123
Bombarral;0;0;0;1244,22694;0;226,3125;43,38675;0;0;4734,523143;237,742317;20,177559;0;0;0;0;0;0,294;0;6506,663209
Borba;0;0;0;262,404384;0;89,289;5,76375;0;0;1290,632238;7,03917;0;0;0;0;0;0;0;0;1655,128542
Boticas;0;0;0;206,36572;0;90,03975;0;0;0;847,802322;2,618973;0;0;3,532;0;0;0;0;0;1150,358765
Braga;0;0;526,88;25806,23861;64,508268;1752,543;1004,5335;0;0;82289,68597;3060,079533;0;0;481,154;0;0;0;44,332;0;115029,9549
Bragança;0;0;0;2188,721304;34,780504;179,06775;151,01775;0;0;11725,8519;400,98159;0;0;3,844;0;1809,655028;0;2,329;0;16496,24882
Cabeceiras de Basto;0;0;34,229;626,47244;0;466,64325;0;0;0;3521,713491;113,023458;0;0;0;0;0;0;0;0;4762,081639
Cadaval;0;0;0;724,4754;0;86,7975;72,6045;0;0;2806,818399;66,538152;0;0;0;0;0;0;0;0;3757,233951
Caldas da Rainha;0;0;370,018;7421,537068;96,106032;548,358;393,8505;0;0;37886,49615;1041,928569;834,168429;0;0;0;0;0;85,268;0;48677,73075
Calheta (Açores);0;0;0;219,663664;0;7,74375;0;0;0;1000,810107;0;0;0;0;0;0;0;0;0;1228,217521
Calheta (Madeira);0;0;0;523,670312;0;26,67075;276,66;0;0;1473,052203;69,523731;0;0;0;0;0;0;0;0;2369,576996
Câmara de Lobos;0;0;0;2013,60852;0;143,69925;723,93;0;0;4532,573457;0;0;0;0;0;0;0;0;0;7413,811227
Caminha;0;0;0;1069,469456;0;2,1405;92,45925;0;0;4797,593604;266,579478;0;0;0;0;0;0;25,175;0;6253,417288
Campo Maior;0;0;0;370,215868;0;0;30,933;0;0;1894,5495;40,15089;0;0;0;0;0;0;0;0;2335,849258
Cantanhede;0;0;154,176;3703,810264;128,094252;230,3925;442,23525;0;0;18232,03202;1483,806816;0;0;0;0;0;0;0;0;24374,5471
Carrazeda de Ansiães;0;0;0;179,891008;0;0;117,891;0;0;1091,524167;103,136814;0;0;0;0;0;0;0;0;1492,442989
Carregal do Sal;0;0;51,978;897,762316;0;230,208;12,03525;0;0;2704,934574;49,834143;0;0;0;7,56504;0;0;0;0;3954,317323
Cartaxo;0;0;0;2049,09738;132,020504;16,4625;80,031;0;0;4990,335453;386,510697;0;0;6,195;0;0;0;0;0;7660,652534
Cascais;0;0;130,441;25815,50783;212,185908;138,89025;2170,41825;0;0;52892,09321;4668,471288;0;0;0;0;0;0;19,109;0;86047,11673
Castanheira de Pêra;0;0;0;160,876848;0;40,48425;0;0;0;551,075778;23,484546;0;0;0;0;0;0;0;0;775,921422
Castelo Branco;0;0;56,334;4003,862984;156,782296;177,44025;331,83825;0;0;19727,52251;976,676049;0;0;0;0;0;0;9,006;0;25439,46234
Castelo de Paiva;0;0;73,397;1656,396632;3,8148;174,44925;167,09025;0;0;4841,629848;317,113353;39,040191;0;0;0;0;0;0,768;0;7273,699324
Castelo de Vide;0;0;2,145;176,257972;14,747568;0;11,5905;0;0;793,483533;52,721793;0;0;0;0;0;0;0;0;1050,946366
