Município;Butano;Propano;Gás auto;Gasolina s/ chumbo 95;Gasolina s/ chumbo 95 especial;Gasolina s/ chumbo 98   ;Gasolina s/ chumbo 98 Especial;Petróleo iluminante   ;Petróleo carburante;Gasóleo;Gasóleo Especial;Gasóleo colorido;Gasóleo colorido p/ aquecimento;Biodiesel;Biodiesel B10;Biodiesel B15;Biodiesel B20;Lubrificantes;Asfaltos;Total
Paços de Ferreira;0;0;327,695;6711,80026;40,491484;775,73625;452,02125;0;0;20565,42062;655,273071;0;0;0;0;1258,90788;0;6,108;0;30793,45381
Palmela;0;0;391,654;6670,396216;121,166276;67,26;486,1485;0;0;29612,94952;1920,232845;0;0;148,098;0;0;0;0,253;0;39418,15835
Pampilhosa da Serra;0;0;0;141,864932;0;46,47225;0;0;0;848,735577;0;0;0;0;0;0;0;0;0;1037,072759
Paredes;0;1,131;163,811;5296,231204;38,232524;674,574;424,39125;0;0;17774,67764;650,345652;0;0;0;0;0;0;17,557;0;25040,95127
Paredes de Coura;0;0;0;500,711948;0;0;97,503;0;0;1438,379478;35,031798;53,997381;0;0;0;0;0;0,564;0;2126,187605
Pedrogão Grande;0;0;0;240,490228;0;19,1415;25,76475;0;0;969,406704;35,862939;0;0;0;0;0;0;0;0;1290,666121
Penacova;0;0;72,005;917,074928;0;199,71;0;0;0;4370,874264;20,534958;12,554163;0;0;0;0;0;4,065;0;5596,818313
Penafiel;0;2,868;121,827;5054,549412;70,687496;266,79975;784,7715;0;0;20685,49831;1096,783875;0;0;0;0;0;0;15,252;0,135;28099,17234
Penalva do Castelo;0;0;0;577,28396;0;26,8125;20,22825;0;0;1541,59497;54,175662;0;0;0;0;0;0;0;0;2220,095342
Penamacor;0;0;0;174,824804;0;42,63675;0;0;0;926,942346;37,125972;0;0;0;0;0;0;0;0;1181,529872
Penedono;0;0;0;172,18212;0;75,8535;0;0;0;795,339999;40,545117;0;0;0;0;0;0;0;0;1083,920736
Penela;0;0;0;196,240044;0;52,3455;0;0;0;1486,452573;90,482211;0;0;0;0;0;0;0;0;1825,520328
Peniche;0;17,768;0,605;3338,264908;73,086332;0;242,23275;0;0;8047,475442;472,548438;0;0;0;0;0;0;0,181;0;12192,16187
Peso da Régua;0;0;0;1590,505312;0;209,45775;104,6715;0;0;5944,163076;158,8626;880,749153;0;0;0;0;0;0;0;8888,409391
Pinhel;0;0;0;148,24238;1,864016;16,326;8,10075;0;0;1562,052924;55,596888;25,992198;0;0;0;0;0;0;0;1818,175156
Pombal;0;2,826;338,095;4497,326064;327,701044;851,15175;294,696;0;0;39645,87433;2197,672398;0;0;0;0;0;0;9,071;0;48164,41359
Ponta Delgada;0,272;0;0;13104,96075;0;877,7385;0;0;0;43934,93854;0;0;0;0;0;0;0;126,51;0;58044,41979
Ponta do Sol;0;0;0;1601,88688;0;146,8305;414,90225;0;0;3516,562593;0;0;0;0;0;0;0;0;0;5680,182223
Ponte da Barca;0;0;0;1010,990068;3,143096;95,13825;61,6305;0;0;3195,421596;98,57349;0;0;52,008;0;0;0;0;0;4516,905
Ponte de Lima;0;0;150,643;3155,152264;0;244,54425;383,0985;0;0;11808,83794;413,073729;96,669315;0;3,641;0;0;0;22,887;0;16278,54699
Ponte de Sôr;0;0;1,446;808,284312;51,80274;0;163,584;0;0;3590,069607;277,955145;0;0;0;0;0;0;1,133;0;4894,274804
Portalegre;0;0;48,792;1923,391492;153,596564;22,50975;42,015;0;0,346112;8936,075655;265,354947;0;0;0;0;0;0;1,755;0;11393,83652
Portel;0;0;0;231,58828;0;42,37575;0;0;0;1116,224874;84,447441;0;0;0;0;0;0;0;0;1474,636345
Portimão;0;0;297,726;12746,22518;0;563,8095;721,5555;0;0;30646,24192;1220,54688;0;0;2,655;0;0;0;19,761;0;46218,52098
Porto;0;0;448,462;28522,94843;602,954572;745,815;1562,40075;0;0;66639,23984;5117,546061;3245,211378;0;15,048;0;0;0;2,247;0;106901,873
Porto de Mós;0;0;2,661;1212,312024;0;197,32725;166,66275;0;0;6509,416797;167,235948;0;0;0;0;0;0;0;0;8255,615769
Porto Moniz;0;0;0;205,736652;0;0;74,2455;0;0;533,260233;0;0;0;0;0;0;0;0;0;813,242385
Porto Santo;0;0;0;4,488;0;924,4875;0;0;0;1663,32825;0;0;0;0;0;0;0;0;0;2592,30375
Póvoa de Lanhoso;0;0;0,286;629,220592;25,249488;27,27675;88,92525;0;0;1669,175532;80,955477;2,093337;0;0;0;0;0;2,718;0;2525,900426
Póvoa de Varzim;0;0;399,072;6764,176716;21,522952;190,60425;406,6935;0;0;19678,25586;894,152871;0;0;0,528;0;143,7294;0;37,937;0;28536,67255
Povoação;0;0;0;447,010784;0;25,716;0;0;0;1446,339348;0;0;0;0;0;0;0;0;0;1919,066132
Proença-a-Nova;0;0;0;537,826212;0;30,86925;42,0345;0;0;2265,794154;61,721217;0;0;0;0;0;0;0;0;2938,245333
Redondo;0;0;0;537,721492;0;5,2455;53,763;0;0;2118,90735;133,330752;0;0;0;0;0;0;0;0;2848,968094
Reguengos de Monsaraz;0;0;0;964,952912;0;0;89,1555;0;0;3058,898526;131,617413;0;0;0;0;0;0;0;0;4244,624351
Resende;0;0;1,441;694,629452;167,676168;48,24225;112,62075;0;0;2374,783272;110,875716;0;0;0;0;0;0;0;0;3510,268608
Ribeira Brava;0;0;0;2598,723292;0;529,1565;632,4495;0;0;14075,24896;0;0;0;0;0;0;0;0;0;17835,57825
Ribeira de Pena;0;0;0;243,904848;0;119,3295;0;0;0;1231,012728;36,374346;0;0;0;0;0;0;0;0;1630,621422
Ribeira Grande;0;0;0;1580,588328;0;190,04475;0;0;0;3238,173882;0;0;0;0;0;0;0;0;0;5008,80696
Rio Maior;0;0;21,634;1104,774308;44,24794;189,80325;55,914;0;0;5972,085396;244,308582;0;0;44;0;0;0;0,543;0;7677,310476
Sabrosa;0;0;0;163,9242;47,851804;0;0;0;0;780,36858;0;0;0;0;0;0;0;0,868;0;993,012584
Sabugal;0;0;15,209;595,690744;0;118,05675;69,477;0;0;3164,096034;92,950524;0;0;0;0;0;0;0;0;4055,480052
Salvaterra de Magos;0;0;17,36;1718,886048;56,95272;57,39525;107,967;0;0;6817,591827;461,5218;0;0;0;0;0;0;0;0;9237,674645
Santa Comba Dão;0;0;63,022;1213,288912;0;114,71325;93,3105;0;0;5207,817348;330,219936;0;0;0;0;0;0;0;0;7022,371946
Santa Cruz;0;0;0;4081,844228;0;230,86275;961,84125;0;0;8864,991756;47,970981;0;0;0;0;0;0;0,704;0;14188,21497
Santa Cruz da Graciosa;0;0;0;715,346808;0;9;0;0;0;1867,145283;0;0;0;0;0;0;0;0;0;2591,492091
Santa Cruz das Flores;0;0;0;300,838868;0;10,482;0;0;0;427,311936;0;0;0;0;0;0;0;0;0;738,632804
Santa Marta de Penaguião;0;0;0;232,2353;0;113,07;0;0;0;1026,678429;52,258932;0;0;0;0;0;0;0;0;1424,242661
Santana;0;0;0;877,632888;0;0;426,18;0;0;3721,892922;124,119567;0;0;0;0;0;0;0;0;5149,825377
Santarém;0;0;511,988;7224,617092;124,19792;348,47325;553,06275;0;0;36682,60389;2451,867624;0;5,858163;0,44;0;0;0;8,15;0;47911,25869
Santiago do Cacém;0;0;0,55;2563,23518;49,557244;163,66125;200,37975;0;0;13836,51396;541,399221;0;0;0;0;0;0;5,204;0;17360,50061
Santo Tirso;0;0;30,702;19391,43699;123,879272;2838,24975;437,23725;0;0;92880,65459;590,690151;0;0;9,945;0;74,179358;0;2,031;0;116379,0054
São Brás de Alportel;0;0;0;1342,471504;0;41,8185;97,73925;0;0;3135,023676;55,855521;0;0;0;0;0;0;0;0;4672,908451
São João da Madeira;0;0;365,53;2697,614876;35,891284;92,17125;262,16775;0;0;8102,781891;655,115715;0;0;0;354,32292;0;0;0;0;12565,59569
São João da Pesqueira;0;0;0;274,958068;0;22,90125;98,70375;0;0;1433,240298;46,681164;0;0;0;0;0;0;0;0;1876,48453
São Pedro do Sul;0;0;0;1317,4524;33,95546;269,6175;69,9735;0;0;3398,980833;107,536923;0;0;0;0;0;0;0;0;5197,516616
São Roque do Pico;0;0;0;911,792552;0;51,1065;0;0;0;3571,411203;0;0;0;0;0;0;0;0;0;4534,310255
São Vicente;0;0;0;743,673568;0;31,644;364,3515;0;0;2545,175547;47,916576;0;0;0;0;0;0;0;0;3732,761191
Sardoal;0;0;0;554,87762;72,66072;12,0285;0;0;0;1678,513941;101,567439;0;0;0;0;0;0;0;0;2419,64822
Sátão;0;0;6,634;449,081248;0;39,741;28,2255;0;0;1639,795995;72,041427;0;0;0;0;0;0;0;0;2235,51917
Seia;0;0;0;1703,916324;82,307676;91,26075;93,75675;0;0;5144,464818;277,57431;0;0;0;0;0;0;0;0;7393,280628
Seixal;0;0;741,002;18133,52464;138,781676;375,348;792,81825;0;0;36839,31289;2025,909117;0;0;49,559;0;0;0;14,677;0;59110,93258
Sernancelhe;0;0;0;184,49794;0;34,32;18,4815;0;0;995,072472;0;0;0;0;0;0;0;0;0;1232,371912
Serpa;0;0;0;472,745724;0;76,13775;47,418;0;0;2936,585205;65,275956;0;0;0;0;0;0;0;0;3598,162635
Sertã;0;0;25,992;1215,29056;0;180,6975;19,10025;0;0;9097,141239;164,929176;124,728903;84,099249;0;0;0;0;3,385;0;10915,36388
Sesimbra;0;0;0,22;5444,98372;51,840888;41,20725;308,54025;0;0;12360,59754;606,200598;0;0;18,207;0;0;0;11,588;0;18843,38525
Setúbal;0;0;31,385;12427,80607;197,956704;164,68275;583,01175;0;0,692224;39134,60795;2118,836205;3290,156604;0;48,729;0;0;0;52,885;0;58050,74926
Sever do Vouga;0;0;0;828,536412;4,340644;220,8585;63,18375;0;0;3263,724144;155,323764;0;0;0;0;5,02674;0;0;0;4540,993954
Silves;0;34,466;1,925;6707,048964;301,752924;135,00375;560,8125;0;0;34468,52964;1133,551611;0;0;0;0;0;0;0;0;43343,09039
Sines;0;0;39,597;6901,14524;0;769,128;97,26375;0;0;27250,64089;332,624637;0;0;0;0;0;0;4,227;0;35394,62652
Sintra;0;0;823,792;37343,36892;619,686584;187,113;2092,08825;0;0;96149,32205;5451,641307;0;0;27,62;0;0;0;46,091;0;142740,7231
Sobral de Monte Agraço;0;16,095;0;727,214576;21,872268;0;88,6005;0;0;3197,49903;156,195918;0;0;0;0;0;0;0;0;4207,477292
Soure;0;0;17,013;771,795376;0;54,96975;91,2675;0;0;2759,455917;77,582367;0;0;0;0;0;0;0;0;3772,08391
Sousel;0;0;0;326,899936;0;32,92425;24,21975;0;0;1453,740102;0;0;0;0;0;0;0;0;0;1837,784038
Tábua;0;0;0;986,281384;48,11884;185,8875;25,3575;0;0;4751,077329;94,068756;0;0;0;0;0;0;0;0;6090,791309
Tabuaço;0;0;0;73,343644;0;39,72975;0;0;0;685,077804;0;0;0;0;0;0;0;0;0;798,151198
Tarouca;0;0;0;583,42504;0;133,644;46,71075;0;0;3084,911649;198,916398;0;0;0,273;0;0;0;0;0;4047,880837
Tavira;0;0;0;2510,847504;42,674896;69,7935;204,26775;0;0;6840,426861;496,86831;0;0;0;0;82,110998;0;0;0;10246,98982
Terras do Bouro;0;0;0;568,376776;0;0;94,3995;0;0;1417,945797;77,68197;0;0;0;0;0;0;0;0;2158,404043
Tomar;0;0;151,757;3865,55928;56,735052;169,81125;351,15;0;0;10847,29652;926,185698;0;24,227802;0;0;0;0;1,433;0;16394,1556
Tondela;0;0;27,223;1469,895548;0;119,19975;179,72775;0;0;4089,519225;122,527593;0;0;0,88;0;0;0;1,295;0;6010,267866
Torre de Moncorvo;0;0;0;267,163908;0;112,66275;0;0;0;1518,411744;63,676449;0;0;0;0;0;0;0;0;1961,914851
Torres Novas;0;0;391,182;2672,957804;96,543612;194,80275;86,6625;0;0,346112;17155,27588;362,751615;34,881975;0;12,086;0;0;0;22,748;0;21030,23824
Torres Vedras;0;0;341,13;7042,7753;261,618984;115,25775;571,63575;0;0;35108,56262;2529,420696;94,132368;0;184,805;0;0;0;41,321;0;46290,65947
Trancoso;0;0;0;499,369288;0;135,3705;40,0335;0;0;2702,96595;87,45813;0;0;0;0;0;0;0;0;3465,197368
Trofa;0;0;249,207;4321,560276;226,978356;72,69225;425,7495;0;0;18565,38903;1354,656042;0;0;1,35;0;0;0;2,276;0;25219,85845
Vagos;0;0;0,055;1612,708944;12,018116;232,89975;112,37025;0;0;5615,320842;395,218845;0;0;4,224;0;56,70028;0;4,082;0;8045,598027
Vale de Cambra;0;0;20,986;1697,044448;30,187036;47,646;190,833;0;0;5388,142302;290,632347;0;0;0;0;122,221352;0;0;0;7787,692485
Valença;0;1,337;60,611;364,089748;0;31,83225;16,81425;0;0;3538,396575;128,908881;0;0;0;0;0;0;0,358;0;4142,347704
Valongo;0;0;505,73;14981,0001;23,865688;406,70175;611,90475;0;0;41870,25122;1357,815717;0;0;6,328;0;0;0;0;0;59763,59722
Valpaços;0;0;0;494,601536;0;91,2015;40,0365;0;0;2151,242334;167,907222;0;0;0,176;0;0;0;0;0;2945,165092
Velas;0;0;0;512,385984;0;30,12525;0;0;0;6337,300302;0;0;0;0;0;0;0;0;0;6879,811536
Vendas Novas;0;0;0;1753,284324;0;22,5705;138,29775;0;0;6384,225033;521,384877;15,010758;0;0;0;0;0;0;0;8834,773242
Viana do Alentejo;0;0;0;366,83042;0;17,62725;36,88725;0;0;1459,685313;30,624993;0;0;0;0;0;0;0;0;1911,655226
Viana do Castelo;0;0;151,533;10036,35657;28,950592;414,87975;429,699;0;0;28966,38208;1072,126692;466,238295;0;0,528;0;0;0;9,672;0;41576,36598
Vidigueira;0;0;0;480,39552;0;29,8095;44,79825;0;0;1450,036377;79,72425;0;0;0;0;0;0;0;0;2084,763897
Vieira do Minho;0;0;0;1144,140052;0;76,50225;129,84825;0;0;4509,130761;128,134656;0;0;14,08;0;0;0;0;0;6001,835969
Vila de Rei;0;0;0;268,42728;0;0;58,8855;0;0;1004,867046;80,860059;0;0;0;0;0;0;0;0;1413,039885
Vila do Bispo;0;0;0;437,83806;32,578392;57,6945;30,5535;0;0;868,915647;95,656545;0;0;0;0;0;0;0;0;1523,236644
Vila do Conde;0;-7,509;193,452;8656,309288;465,67114;333,19275;263,286;0;0;26838,24095;1762,824951;0;0;3,391;0;0;0;6,278;0;38515,13708
Vila do Porto;0;0;0;477,972;0;25,5;0;0;0;844,872822;0;0;0;0;0;0;0;0;0;1348,344822
Vila flor;0;0;0;203,697604;0;82,4685;0;0;0;1452,495483;62,497953;0;0;0;0;0;0;2,035;0;1803,19454
Vila Franca de Xira;0;5,09;223,42;10021,98974;398,71766;196,0455;413,51775;0;0;44129,55695;1455,163002;56,661552;0;13,71;0;0;0;19,105;2,46;56935,43715
Vila Franca do Campo;0;0;0;1001,05588;0;44,694;0;0;0;2514,994164;0;0;0;0;0;0;0;0;0;3560,744044
Vila Nova da Barquinha;0;0;0;363,507056;0;0;34,947;0;0;752,570136;41,098374;0;0;0;0;0;0;0;0;1192,122566
Vila Nova de Cerveira;0;0;0,165;116,114284;0;7,4595;7,53225;0;0;783,745875;5,585301;0;0;0;0;0;0;0;0;920,60221
Vila Nova de Famalicão;0;0;738,437;14913,65616;225,03206;1158,32925;365,34225;0;0;41314,88581;859,701114;0;62,795925;95,727;0;0;0;15,373;0;59749,27958
Vila Nova de Foz Côa;0;0;0;402,662612;31,037512;18,38025;37,0935;0;0;2056,562568;81,153009;0;0;0;0;0;0;0;0;2626,889451
Vila Nova de Gaia;0;3,708;663,91;41376,35454;199,886544;2547,282;1320,909;0;0;144698,5311;4192,083531;0;0;4,429;0;0;0;24,398;0;195031,4917
Vila Nova de Ourém;0;0;48,39;4153,80108;90,745116;1038,82725;241,47075;0;0;54413,00339;818,796087;0;0;7,08;0;0;0;15,178;0;60827,29168
Vila Nova de Paiva;0;0;0;392,227264;0;27,033;29,14725;0;0;1052,024463;23,447718;0;0;0;0;0;0;0;0;1523,879695
Vila Nova de Poiares;0;0;0;236,350048;0;68,4555;0;0;0;1404,601506;75,216168;0;0;0;0;0;0;7,281;0;1791,904222
Vila Pouca de Aguiar;0;0;3,553;916,026232;0;9,49425;165,0645;0;0;5284,751877;320,798664;0;0;0;0;0;0;0;0;6699,688523
Vila Praia da Vitória;0;0;0;2930,156856;0;262,8315;0;0;0;12143,25208;0;0;0;0;0;0;0;0;0;15336,24044
Vila Real;0;0;160,576;5752,115512;11,053944;336,68475;505,67475;0;0;22752,55602;827,926083;0;0;8,207;0;0;0;5,828;0;30360,62206
Vila Real de Santo António;0;0;93,452;1467,28428;40,574512;65,28675;97,94925;0;0;5585,507739;367,247142;0;0;0;0;0;0;0,556;0;7717,857673
Vila Velha de Rodão;0;0;74,268;719,01126;142,09008;0;59,271;0;0;4765,398399;477,026388;0;0;0;0;0;0;0;0;6237,065127
Vila Verde;0;0;0;5256,916324;7,854748;1070,9325;152,25525;0;0;13704,02942;171,260244;0;0;0;0;0;0;0;0;20363,24848
Vila Viçosa;0;0;0;431,239204;22,807268;3,0075;57,684;0;0;1479,477015;86,297211;0;0;0;0;0;0;0;0;2080,512198
Vimioso;0;0;0;47,113528;0;32,82675;0;0;0;319,161492;0;0;0;0;0;0;0;0;0;399,10177
Vinhais;0;0;0;252,239812;0;25,3395;46,5105;0;0;978,928416;19,671174;0;0;0;0;0;0;0;0;1322,689402
Viseu;0;0;595,584;9448,116656;300,979492;548,39775;488,07675;0;0;39622,00811;1896,169932;0;0;24,182;0;453,028838;0;5,724;0;53382,26753
Vizela;0;0;11,148;1523,960988;0;0;226,35;0;0;5096,338992;339,563367;0;0;5,762;0;0;0;0;0;7203,123347
Vouzela;0;0;88,573;646,401404;0;80,10825;87,02625;0;0;1933,994799;52,494966;0;0;0;0;0;0;0;0;2888,598669
Total;2172,406;1442,715;26357,966;1286230,952;19327,96021;83256,615;68674,7775;1,192256;7,915648;4375128,8;168730,7095;25697,70457;1160,155656;4383,593;1172,21916;17894,12422;706,885448;1847,555;2,595;6084196,841
