Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Petróleo Iluminante / Carburante;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Fuel;Lubrificantes;Asfaltos;Biodiesel;Grand Total
Tarouca;0;0;0;471,715196;37,154858;0;2879,61576;0;0;0;2,175;0;0;3390,660814
Tavira;0;0;3,067;3030,909972;101,078224;0;8507,99292;0;0;0;2,266;0;0;11645,31412
Terras do Bouro;0;0;0;453,783594;13,505648;0;1424,37876;0;0;0;0,615;0;0;1892,283002
Tomar;0;0;121,574;3103,94934;292,831734;0,09984;11093,65152;0;0;0;9,896;0;0;14622,00243
Tondela;0;0;17,341;2419,40109;343,716178;0;9329,36676;0;0;0;45,537;0;0;12155,36203
Torre de Moncorvo;0;0;6,804;351,389126;50,419226;0;2738,20764;0;0;0;24,386;0;0;3171,205992
Torres Novas;0;0;84,396;2451,34481;167,121084;0,04992;16840,22844;0;0;0;17,046;0;0;19560,18625
Torres Vedras;0;2;883,482;5656,315978;532,754534;0,06656;43541,53104;0;0;0;64,058;0;0;50680,20811
Trancoso;0;0;0;331,073308;155,042758;0;2541,70812;0;0;0;0,166;0;0;3027,990186
Trofa;0;0;184,257;4089,30344;211,834792;0;21307,95996;0;0;0;313,057;0;0,356;26106,76819
Vagos;0;0;0,924;1718,957072;235,051206;0;7770,17976;0;0;0;158,739;0;0;9883,851038
Vale de Cambra;0;0;51,234;1733,51004;170,97704;0;7572,9864;0;0;0;32,966;0;0;9561,67348
Valença;0;0,5;35,657;503,74023;29,2175;0;2864,29584;0;0;0;0;0;0;3433,41057
Valongo;0;0;529,328;9450,143738;394,90373;0;36880,4688;0;0;0;44,617;0;0;47299,46127
Valpaços;0;0;0;467,852408;44,038124;0;2944,557;0;0;0;982,987;0;0;4439,434532
Velas;0;0;0;681,593344;5,655;0;1558,09248;0;0;0;25,731;0;0;2271,071824
Vendas Novas;0;0;12,076;1050,318764;71,361576;0;6093,30456;0;0;0;3,07;0;79,318;7309,4489
Viana do Alentejo;0;0;0;38,62788;4,326452;0;490,19124;0;0;0;251,225;0;0;784,370572
Viana do Castelo;0;0;83,633;5834,19371;262,307552;0;21657,85188;766,94856;0;0;121,487;0;44,436;28770,8577
Vidigueira;0;0;0;351,80241;48,07127;0;1277,787;0;0;0;3,317;0;0;1680,97768
Vieira do Minho;0;0;0;561,611926;61,570886;0;1982,82504;0;0;0;0;0;0;2606,007852
Vila de Rei;0;0;0;209,750582;0;0;776,6346;0;0;0;0;0;0;986,385182
Vila do Bispo;0;0;0;237,640538;30,16754;0;601,49544;0;0;0;0;0;0;869,303518
Vila do Conde;0;0;119,498;4057,908776;216,749364;0;23940,13776;0;0;0;148,539;0;4,328;28487,1609
Vila do Porto;0;0;0;881,718288;3,118544;0;948,86568;0;0;0;2,006;17,9;0;1853,608512
Vila flor;0;0;0;160,273624;72,09748;0;1509,23692;0;0;0;1,966;0;0;1743,574024
Vila Franca de Xira;0;1,486;627,185;9479,188502;388,450998;0;47086,71744;0;0;0;352,961;0;0;57935,98894
Vila Franca do Campo;0;0;0;650,09797;4,628052;0;338,247;0;0;0;3,995;0;0;996,968022
Vila Nova da Barquinha;0;0;0;284,816832;5,271968;0;1025,84916;0;0;0;97,565;0;0;1413,50296
Vila Nova de Cerveira;0;0;0,22;245,757764;14,990274;0;833,259;0;0;0;0;0;0;1094,227038
Vila Nova de Famalicão;0;0;681,069;9969,63352;745,899024;0;41818,29876;0;0;0;95,849;0;0;53310,7493
Vila Nova de Foz Côa;0;0;0;216,21691;38,334868;0;1476,21684;0;0;0;0;0;0;1730,768618
Vila Nova de Gaia;0;0,723;1495,171;26641,49068;1260,700818;0;99053,80548;0;0;0;1540,627;0;0,004;129992,522
Vila Nova de Ourém;0;0;81,067;4998,083624;946,165948;0;61121,42904;0;0;0;16,173;0;0;67162,91861
Vila Nova de Paiva;0;0;6,254;513,477022;36,208588;0;1033,75692;0;0;0;335,561;0;0;1925,25753
Vila Nova de Poiares;0;0;0;484,09059;96,375526;0;3814,62732;0;0;0;1,133;0;0;4396,226436
Vila Pouca de Aguiar;0;0;0,44;610,55624;54,011282;0;3650,47536;0;0;0;0,552;0;0;4316,034882
Vila Praia da Vitória;0;0;0;4274,383056;146,157622;0;8283,76416;0;0;65,02;289,938;0;0;13059,26284
Vila Real;0;0;204,888;4431,345186;614,180502;0;26053,18044;0;0;0;216,491;0;0;31520,08513
Vila Real de Santo António;0;0;66,12;1044,5119;85,532252;0;5341,19796;0;0;0;6,794;0;0;6544,156112
Vila Velha de Rodão;0;0;26,467;408,046334;24,158914;0;3351,01704;0;0;0;6,992;0;0;3816,681288
Vila Verde;0;0;90,642;4364,705752;798,975346;0;20615,3766;0;25,24691;0;0;0;0;25894,94661
Vila Viçosa;0;0;0;215,95954;32,924164;0;1068,17004;0;0;0;0,558;0;0;1317,611744
Vimioso;0;0;0;20,807432;19,868654;0;229,74672;0;0;0;0;0;0;270,422806
Vinhais;0;0;26,987;229,345764;60,154874;0;1013,43396;0;0;0;0,022;0;0;1329,943598
Viseu;0;0;523,388;8829,154688;551,058638;0,03328;43146,3606;0;0;0;772,27;0;0;53822,26521
Vizela;0;0;50,853;1156,145578;98,494266;0;5125,50528;0;0;0;4,323;0;0,045;6435,366124
Vouzela;0;0;70,587;488,653126;80,818998;0;2253,1194;0;0;0;5,401;0;0;2898,579524
Grand Total;1524,498;1306,435;34480,85;975240,2423;76174,15517;1,670656;4129259,207;9009,44604;1242,14324;180,52;26856,525;1296;2907,994;5259479,687
