Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Petróleo Iluminante / Carburante;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Fuel;Lubrificantes;Asfaltos;Biodiesel;Grand Total
Câmara de Lobos;0;0;0;1600,282646;661,864216;0;3850,74564;0;0;0;0,468;0;0;6113,360502
Caminha;0;0;0;734,212454;49,95627;0;2485,61376;0;0;0;0,177;0;0;3269,959484
Campo Maior;0;0;0;278,0715;0;0;1242,80436;0;0;0;0;0;0;1520,87586
Cantanhede;0;2,853;174,721;2575,711216;616,039112;0;18873,16704;0;0;0;350,365;0;0;22592,85637
Carrazeda de Ansiães;0;0;0;229,035428;166,523916;0;1583,56044;0;0;0;0,438;0;0;1979,557784
Carregal do Sal;0;0;40,889;872,464158;144,250756;0;2922,27096;0;0;0;0;0;0;3979,874874
Cartaxo;0;0;82,171;1212,341012;115,050598;0;4560,47004;0;0;0;44,138;0;0;6014,17065
Cascais;0;0;202,188;22490,3058;1431,55571;0;57224,2272;0;0;0;132,667;0;0;81480,94371
Castanheira de Pêra;0;0;0;127,6406;0;0;475,2762;0;0;0;0;0;0;602,9168
Castelo Branco;0;0;143,781;4679,108198;296,509746;0,04992;26312,0592;0;0;0;191,434;0;0;31622,94206
Castelo de Paiva;0;0;40,439;1931,536486;249,165332;0;6629,30352;0;0;0;2,482;0;0;8852,926338
Castelo de Vide;0;0;0;205,263392;10,7445;0;855,792;0;0;0;0;0;0;1071,799892
Castro d’Aire;0;0;8,765;719,581902;125,82752;0;4595,54928;0;0;0;5,208;0;0;5454,931702
Castro Marim;0;0;0;398,684034;4,503642;0;1663,82076;0;0;0;0,846;0;0;2067,854436
Castro Verde;0;0;0;450,425102;45,086938;0;2906,38824;0;0;0;0;0;0;3401,90028
Celorico da Beira;0;0;0;430,175678;39,591032;0;3257,91396;0;0;0;0,112;0;0;3727,79267
Celorico de Basto;0;0;0;758,32765;75,115742;0;3450,60744;0;0;0;0;0;0;4284,050832
Chamusca;0;0;0;579,16083;46,349134;0;3802,94124;0;0;0;9,93;0;0;4438,381204
Chaves;0;1,001;46,552;1630,497884;101,5638;0;11521,74408;0;0;0;10,916;0;0;13312,27476
Cinfães;0;0;0;751,968;88,439676;0;3105,71184;0;0;0;0;0;0;3946,119516
Coimbra;0;0;1355,133;15928,32046;857,521938;0;60047,52348;0;0;0;186,775;0;0;78375,27387
Condeixa-a-Nova;0;0;96,007;795,376994;53,397526;0;9780,26448;0;0;0;3,859;0;0;10728,905
Constância;0;0;0;297,7286;19,530108;0;1003,19436;0;0;0;0,184;0;0;1320,637068
Coruche;0;0;0;884,506836;115,690744;0;5493,24888;0;0;0;5,584;0;0;6499,03046
Corvo;0;0;0;19,953262;0;0;69,79812;0;0;0;0;0;0;89,751382
Covilhã;0;0;35,34;2616,548002;196,8694;0;10478,5506;0;0;0;14,609;0;0;13341,917
Crato;0;0;0;316,206274;6,03954;0;1201,94256;0;0;0;0;0;0;1524,188374
Cuba;0;0;0;261,072398;0;0;1460,86752;0;0;0;0,179;0;0;1722,118918
Elvas;0;0;23,63;818,461218;50,58209;0;8064,84672;0;0;0;22,805;0;0;8980,325028
Entroncamento;0;0;0;1305,357514;116,427402;0;3535,25256;904,69008;0;0;1,21;0;0;5862,937556
Espinho;0;0;185,191;2708,738682;202,218276;0;6770,88804;0;0;0;5,124;0;0,915;9873,074998
Esposende;0;0;79,101;3348,086792;194,888642;0;12147,80364;0;0;0;1,282;0;0;15771,16207
Estarreja;0;0;229,481;2549,939154;229,537958;0;11093,10552;0;0;0;7,222;0;0;14109,28563
Estremoz;0;0;48,983;1101,5063;230,40732;0;7862,60412;0;0;0;15,948;0;0;9259,44874
Évora;0;0;138,393;4628,278742;205,20864;0,01664;22034,47008;0;0;0;532,699;0;0;27539,0661
Fafe;0;0;0,495;3803,666008;533,663858;0;17807,49516;0;0;0;2,758;0;0;22148,07803
Faro;0;0;446,357;11717,41006;508,74265;0;31457,11464;1093,28856;0;0;137,455;0;0;45360,36791
Feira;0;0;276,89;9536,048622;949,758758;0;46335,18372;0;439,66871;0;46,238;0;1,045;57584,83281
Felgueiras;0;0;76,822;2593,034082;393,8519;0;16768,55628;0;0;0;19,296;0;0;19851,56026
Ferreira do Alentejo;0;0;0;221,309106;76,13892;0;2493,25272;0;0;0;5,089;0;0;2795,789746
Ferreira do Zêzere;0;0;12,077;543,18871;12,100192;0;3388,9464;0;0;0;217,703;0;0;4174,015302
Figueira da Foz;0;0;3919,035;5042,30725;410,04405;0;22859,47692;0;0;0;41,991;0;0;32272,85422
Figueira de Castelo Rodrigo;0;0;0,998;161,110636;6,783738;0;974,14968;0;0;0;0;0;0;1143,042054
Figueiró dos Vinhos;0;0;0;363,840612;119,337088;0;2170,46508;0;0;0;4,139;0;0;2657,78178
Fornos de Algodres;0;0;0;300,396296;9,060064;0;1362,93192;0;0;0;0,337;0;0;1672,72528
Freixo de Espada à Cinta;0;0;0;74,89094;0;0;732,55728;0;0;0;4,583;0;0;812,03122
Fronteira;0;0;0;151,93782;0;0;602,36232;0;0;0;0;0;0;754,30014
Funchal;0;5,529;91,948;12733,33226;2629,078114;0;39184,38888;0;27,64671;0;56,968;0;0;54728,89096
Fundão;0;0;50,149;1637,424494;142,721644;0;8103,60348;0;0;0;180,414;0;0;10114,31262
Gavião;0;0;0;0;0;0;0;0;0;0;2,801;0;0;2,801
Góis;0;0;0;152,365278;28,413736;0;696,65064;0;0;0;0,238;0;0;877,667654
Golegã;0;0;0;0;0;0;81,51612;0;0;0;1,517;0;0;83,03312
Gondomar;0;0;265,459;8621,736102;336,104548;0;27037,29756;0;0;0;110,321;0;0;36370,91821
Gouveia;0;0;3,501;685,012262;69,030962;0;2113,53156;0;0;0;2,758;0;0;2873,833784
Grândola;0;0;134,876;2254,730542;210,825186;0;14904,21576;0;0;0;11,915;0;0;17516,56249
Guarda;0;0,407;79,407;3489,6761;230,969804;0;17624,21976;0;0;0;58,355;0;0;21483,03466
Guimarães;0;0;748,155;11398,2638;881,26766;0;49037,25708;0;0;0;144,683;0;773,711;62983,33754
Horta;0;0;0;1995,308296;21,013226;0;2252,20884;0;0;0;22,634;0;0;4291,164362
Idanha-a-Nova;0;0;0;223,205438;2,896868;0;900,69756;0;0;0;0,448;0;0;1127,247866
Ílhavo;0;0;70,758;1890,904104;25,868232;0;9082,69488;0;0;0;702,737;0;0;11772,96222
Lagoa (Açores);0;0;0;1413,210464;38,897352;0;1430,02608;0;0;0;31,936;0;0;2914,069896
Lagoa (Algarve);0;1,009;115,332;4807,606698;251,071444;0;12969,37656;0;0;0;16,657;0;0;18161,0527
Lagos;0;0;92,491;4092,258346;260,015392;0;11278,6758;0;0;0;5,624;0;0;15729,06454
Lajes das Flores;0;0;0;443,314976;0;0;589,1844;0;0;0;25,053;0;0;1057,552376
Lajes do Pico;0;0;0;1211,214552;4,736628;0;1263,29028;0;0;0;2,948;0;0;2482,18946
Lamego;0;0;60,335;1282,651512;93,952924;0;5268,70764;0;0;0;10,071;0;0;6715,718076
Leiria;0;0;663,361;11149,31018;1126,06507;0,03328;95566,12968;0;0;0;2569,122;0;529,737;111603,7582
Lisboa;0;0;1197,1;58616,50389;2804,89508;0;187922,7554;528,29784;0;0;997,999;0;419,39;252486,9413
Loulé;0;0;138,966;9964,265304;833,222026;0;34623,79536;0;0;0;65,523;0;0;45625,77169
Loures;0;0;1241,419;20142,48266;835,562442;0,173056;84687,14184;0;0;0;1511,935;0;0;108418,714
Lourinhã;0;1,387;119,575;1416,133292;192,268492;0,06656;7309,10292;0;0;0;40,897;0;0;9079,430264
Lousã;0;0;83,275;708,908134;58,281938;0;2873,86512;0;0;0;134,421;0;0;3858,751192
Lousada;0;0;88,253;1998,069988;482,086488;0;13250,01804;0;0;0;4,058;0;0;15822,48552
Mação;0;43,661;0;503,984918;91,21515;0;5062,86312;0;0;0;29,658;0;0;5731,382188
Macedo de Cavaleiros;0;0;0;162,513116;6,810882;0;1708,03836;0;0;0;0;0;0;1877,362358
Machico;0;0;0;782,223522;150,1591;0;2320,34292;0;0;0;0,016;0;0;3252,741542
Madalena;0;0;0;530,799888;0;0;1386,81732;0;0;0;2,41;0;0;1920,027208
Mafra;0;0;202,698;4302,542318;278,937776;0;25353,98208;0;0;0;80,318;0;0;30218,47817
Maia;0;0;387,814;16884,37018;725,473918;0;64746,53052;0;0;0;577,77;0;0;83321,95862
Mangualde;0;0;25,722;1834,205866;153,021284;0;10103,26716;0;0;0;45,921;0;0;12162,13731
Manteigas;0;0;0;189,326594;0;0;482,56404;0;0;0;0,212;0;0;672,102634
Marco de Canavezes;0;0;20,573;3909,862838;652,082574;0;15476,36244;0;0;0;60,004;0;0;20118,88485
Marinha Grande;0;0;235,273;2629,482896;188,716398;0;9619,35744;0;0;0;30,099;0;0;12702,92873
Marvão;0;0;0;0;0;0;10,33284;0;0;0;0;0;0;10,33284
Matosinhos;0;3,848;386,074;37572,8674;3999,486686;0;175825,6811;0;0;0;587,985;0;250,47;218626,4122
Mealhada;0;0;62,642;2464,562438;232,95207;0;26874,6828;0;0;0;156,48;0;0;29791,31931
Meda;47,46;29,315;0;125,061678;0;0;766,15476;0;0;0;2,475;0;0;970,466438
Melgaço;0;0;0;110,860076;65,242866;0;907,8468;0;0;0;0,006;0;0;1083,955742
Mértola;0;0;0;364,781318;0;0;1876,24332;0;0;0;10,342;0;0;2251,366638
Mesão Frio;0;0;0;282,970482;47,849594;0;1346,14032;0;0;0;0;0;0;1676,960396
Mira;0;0;0;540,127126;28,588664;0;2268,00168;0;0;0;2,505;0;0;2839,22247
Miranda do Corvo;0;0;0;376,152596;70,18986;0;2546,15004;0;0;0;2,231;0;0;2994,723496
Miranda do Douro;0;0;0;547,484178;27,15908;0;2409,72564;0;0;0;6,164;0;0;2990,532898
Mirandela;0;0;0,165;1187,698394;469,567826;0;9763,5552;0;0;0;11,451;0;0;11432,43742
Mogadouro;0;0;0;280,096144;86,072116;0;2483,34324;0;0;0;15,316;0;0;2864,8275
Moimenta da Beira;0;0;0;727,93561;99,876348;0;2628,24828;0;0;0;0,341;0;0;3456,401238
Moita;0;0;254,048;3188,075014;64,153336;0;8926,7136;0;0;0;23,372;0;0;12456,36195
Monção;0;0;0;748,293204;24,90462;0;4608,2274;0;42,50181;0;5,021;0;0;5428,948034
Monchique;0;0;5,147;445,458234;65,834002;0;1742,67492;0;0;0;2,59;0;0;2261,704156
Mondim de Basto;0;0;0,209;274,150524;23,59266;0;2094,80292;0;0;0;1;0;0;2393,755104
Monforte;0;0;0;131,78463;0;0;442,5876;0;0;0;0;0;0;574,37223
Montalegre;0;0;2,834;433,605786;50,339302;0;2333,04204;0;0;0;0,592;0;0;2820,413128
Montemor-o-Novo;0;0;29,839;3046,030646;74,387378;0;8447,66328;0;0;0;27,939;0;0;11625,8593
Montemor-o-Velho;0;0;104,496;881,619816;145,617004;0;4618,80552;0;0;0;10,373;0;0;5760,91134
Montijo;0;0;418,889;5840,894282;281,207316;0;27154,33392;0;0;0;27,051;0;0;33722,37552
Mora;0;0;28,668;297,40782;32,666296;0;1531,93824;0;0;0;0,23;0;0;1890,910356
Mortágua;0;0;8,217;462,708738;28,73494;0;2767,98312;0;0;0;0,522;0;0;3268,165798
Moura;0;0;0;557,412692;20,607574;0;2654,9838;0;0;0;2,594;0;0;3235,598066
Mourão;0;0;0;272,14453;0;0;1145,95488;0;0;0;0,234;0;0;1418,33341
Murça;0;0;0;427,794446;87,236292;0;2399,72376;0;0;0;2,261;0;0;2917,015498
Murtosa;0;0;35,166;457,5964;0;0;909,22944;0;0;0;0,841;0;0;1402,83284
