geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-8.59130859375 41.12901926009517, -8.54736328125 41.12901926009517)",2020-04-14 1600,728813,Oliveira do Douro,731419,São Cosme,3.6806626659224,13,PT,LEVEL5,26,32.6,-6.6,-19.642857142857,0,-0.63715350212875,41.125480000231,-8.5852715180741,41.136972132569,-8.5353721698187,0313322333122,0313322333123
"LINESTRING (-8.59130859375 41.12901926009517, -8.54736328125 41.16211185167059)",2020-04-14 1600,728813,Oliveira do Douro,731412,Fânzeres,5.2039298788102,13,PT,LEVEL5,25,36,-11,-29.72972972973,0,-1.0659034828453,41.125480000231,-8.5852715180741,41.169276181768,-8.5302572246125,0313322333122,0313322333121
"LINESTRING (-8.59130859375 41.12901926009517, -8.54736328125 41.19518774143979)",2020-04-14 1600,728813,Oliveira do Douro,731422,Baguim do Monte,8.2260591304822,13,PT,LEVEL5,23,23.8,-0.8,-3.2258064516129,0,-0.09256135126675,41.125480000231,-8.5852715180741,41.192198058705,-8.5358890168331,0313322333122,0313322333103
"LINESTRING (-8.59130859375 41.12901926009517, -8.54736328125 41.228246926814975)",2020-04-14 1600,728813,Oliveira do Douro,731612,Ermesinde,11.630467609064,13,PT,LEVEL5,24,21.4,2.6,11.607142857143,0,0.37411040099482,41.125480000231,-8.5852715180741,41.216021043588,-8.5493190824051,0313322333122,0313322333101
"LINESTRING (-8.59130859375 41.12901926009517, -8.59130859375 41.0627839819948)",2020-04-14 1600,728813,Oliveira do Douro,728815,Perosinho,7.3650384498902,13,PT,LEVEL5,30,25.8,4.2,15.671641791045,0,0.48594709415044,41.125480000231,-8.5852715180741,41.05797226748,-8.5879757513097,0313322333122,0313322333302
"LINESTRING (-8.59130859375 41.12901926009517, -8.59130859375 41.09590996932491)",2020-04-14 1600,728813,Oliveira do Douro,728824,Vilar de Andorinho,3.681590937114,13,PT,LEVEL5,107,154.6,-47.6,-30.591259640103,0,-0.60295205193537,41.125480000231,-8.5852715180741,41.099937415939,-8.5741603299697,0313322333122,0313322333300
"LINESTRING (-8.59130859375 41.12901926009517, -8.59130859375 41.12901926009517)",2020-04-14 1600,728813,Oliveira do Douro,728813,Oliveira do Douro,0,13,PT,LEVEL5,4313,4092.8,220.2,5.3788656016415,0,0.43908585064402,41.125480000231,-8.5852715180741,41.125480000231,-8.5852715180741,0313322333122,0313322333122
"LINESTRING (-8.59130859375 41.12901926009517, -8.59130859375 41.16211185167059)",2020-04-14 1600,728813,Oliveira do Douro,728709,Bonfim,3.6797340684545,13,PT,LEVEL5,54,117.6,-63.6,-53.62563237774,0,-0.56352073772837,41.125480000231,-8.5852715180741,41.151718420514,-8.5961234159603,0313322333122,0313322333120
"LINESTRING (-8.59130859375 41.12901926009517, -8.59130859375 41.19518774143979)",2020-04-14 1600,728813,Oliveira do Douro,731464,Pedrouços,7.3576109778752,13,PT,LEVEL5,28,26,2,7.4074074074074,0,0.21952851997938,41.125480000231,-8.5852715180741,41.189899544658,-8.5888515279529,0313322333122,0313322333102
"LINESTRING (-8.59130859375 41.12901926009517, -8.63525390625 41.0627839819948)",2020-04-14 1600,728813,Oliveira do Douro,728802,Arcozelo,8.2343632969965,13,PT,LEVEL5,20,28.4,-8.4,-28.571428571429,0,-0.79090575601244,41.125480000231,-8.5852715180741,41.056353348945,-8.6402325558739,0313322333122,0313322333213
