Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Castanheira de Pêra;0;0;0;127,456338;21,716708;491,23872;0;0;0;0;640,411766
Castelo Branco;0;0;125,413;4958,63962;264,581616;25041,66672;0;0;426,363;0;30816,66396
Castelo de Paiva;0;0;53,4;1648,263128;214,153342;5943,84168;0;0;10,469;0;7870,12715
Castelo de Vide;0;0;1,32;257,611704;7,384676;932,66124;0;0;0,18;0;1199,15762
Castro d’Aire;0;0;11,43;735,430672;135,865522;3921,79788;0;0;270,196;0;5074,720074
Castro Marim;0;0;0;379,232084;12,099438;1671,19428;0;0;0,387;0;2062,912802
Castro Verde;0;0;0;496,386162;59,779382;3208,20108;0;0;4,795;0;3769,161624
Celorico da Beira;0;0;0;426,83136;71,013228;3513,24876;0;0;0,333;0;4011,426348
Celorico de Basto;0;0;2,695;748,608762;150,959094;3139,3824;0;0;4,885;0;4046,530256
Chamusca;0;0;0;596,059968;37,57559;3514,96068;0;0;4,164;0,143;4152,903238
Chaves;0;0;32,923;2101,84381;223,329522;13603,51188;0;0;18,854;0;15980,46221
Cinfães;0;0;0;628,504254;80,942654;2605,22388;0;0;0,052;0;3314,722788
Coimbra;0;0;1361,662;15554,75051;903,662214;59800,55088;0;0;264,725;96,36;77981,71061
Condeixa-a-Nova;0;0;72,381;1226,455332;63,122618;9216,22716;0;0;1,372;0;10579,55811
Constância;0;0;0;207,42157;0;809,12916;0;0;0,206;0;1016,75673
Coruche;0;9,753;0;885,111096;157,438216;4900,50876;0;0;13,137;0;5965,948072
Corvo;0;0;0;21,610128;0;-5294,59728;0;0;0;0;-5272,987152
Covilhã;0;0;35,647;2560,987414;248,771744;10248,91644;0;0;12,456;0;13106,7786
Crato;0;0;0;365,475844;15,876978;1456,77336;0;0;0;0;1838,126182
Cuba;23,083;15,73;0;192,215852;22,494836;952,14588;0;0;0,433;0;1206,102568
Elvas;0;0;32,155;1088,855632;77,226942;8758,0164;0;0;29,171;0;9985,424974
Entroncamento;0;0;0;1822,88084;133,050086;4706,40324;1152,93528;0;1,105;0;7816,374446
Espinho;0;0;24,394;2911,413454;165,181796;6467,68584;0;0;8,817;0;9577,49209
Esposende;0;0;85,82;2307,8256;129,78602;6639,18612;0;0;2,731;2,279;9167,62774
Estarreja;0;0;272,081;2062,167054;252,447494;12433,40364;0;0;5,841;0;15025,94019
