Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Vila de Rei;0;0;0;171,641172;29,363776;745,80912;0;0;0;0;946,814068
Vila do Bispo;0;0;0;223,566502;42,185546;544,60392;0;0;0;0;810,355968
Vila do Conde;0;0;140,489;4975,427604;223,450916;25225,79724;0;0;193,309;11,202;30769,67576
Vila do Porto;0;0;0;896,832248;36,06759;1936,095;0;0;5,888;0;2874,882838
Vila flor;0;0;0;188,699208;75,745332;1427,27256;0;0;1,992;0;1693,7091
Vila Franca de Xira;0;3,156;213,225;9186,483466;389,22611;50703,65916;0;0;254,204;0;60749,95374
Vila Franca do Campo;0;0;0;608,887438;20,257718;771,94404;0;0;5,049;0;1406,138196
Vila Nova da Barquinha;0;0;0;291,785964;23,506704;1006,78116;0;0;492,405;0;1814,478828
Vila Nova de Cerveira;0;0;0;246,055418;9,423492;888,10848;0;0;0;0,017;1143,60439
Vila Nova de Famalicão;0;0;872,393;11027,77111;900,01587;41973,5274;0;5,0531;126,232;4,768;54909,76048
Vila Nova de Foz Côa;0;0;0;283,37929;39,336934;1678,64844;0;0;1,565;0;2002,929664
Vila Nova de Gaia;0;1,73;1176,29;25791,5229;1284,52948;105449,3429;0;0;1883,66;0,045;135587,1203
Vila Nova de Ourém;0;0;13,918;4356,076024;862,213326;57968,4462;0;0;54,392;0;63255,04555
Vila Nova de Paiva;0;0;0;560,583192;108,150744;1486,52616;0;0;271,916;0;2427,176096
Vila Nova de Poiares;0;0;0;379,724444;93,608346;2957,5518;0;0;69,233;2,64;3502,75759
Vila Pouca de Aguiar;0;0;0,88;609,9669;90,471706;3696,01344;0;0;3,942;0;4401,274046
Vila Praia da Vitória;0;0;0;1643,819206;69,975724;5056,84452;0;0;20,413;0;6791,05245
Vila Real;0;0;195,53;5059,233244;634,671206;25743,36912;0;0;240,219;0;31873,02257
Vila Real de Santo António;0;0;80,336;1603,808242;98,730268;7668,822;0;0;7,948;0;9459,64451
Vila Velha de Rodão;0;0;31,65;403,953778;28,880462;3341,13276;0;0;3,237;0;3808,854
Vila Verde;0;0;97,375;4020,419292;676,996242;15523,24116;0;0;0,385;0;20318,41669
Vila Viçosa;0;0;0;260,280146;30,258774;1191,35352;0;0;1,115;0;1483,00744
Vimioso;0;0;0;42,379514;22,266374;361,63344;0;0;0;0;426,279328
Vinhais;0;0;22,839;250,190496;51,127986;1057,1232;0;0;1,548;0;1382,828682
Viseu;0;0;520,746;10570,59396;624,799838;47126,3394;0;0;776,053;0;59618,5322
Vizela;0;0;71,652;1327,196664;164,320728;5411,98812;0;0;6,242;0;6981,399512
Vouzela;0;0;81,672;612,19744;124,744776;2386,60632;0;0;2,87;0;3208,090536
Grand Total;1675,592;1201,786;30644,45;1011122,686;80351,77511;3957818,703;10462,80564;1037,7783;32062,462;5504,122;5131882,161
