Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Grand Total
Celorico da Beira;0;0;0;446,793574;58,66497;3698,01816;0;0,286;4203,762704
Celorico de Basto;0;0;5,799;731,543266;102,704602;3528,25956;0;2,572;4370,878428
Chamusca;0;0;20,673;439,754318;22,414158;2900,47968;0;4,781;3388,102156
Chaves;0;0;45,644;1634,841842;94,079596;11501,52444;0;40,013;13316,10288
Cinfães;0;0;0;599,56766;107,538496;3069,2298;0;4,085;3780,420956
Coimbra;0;0,596;1475,7;14136,0838;732,56001;62789,10313;0;238,38;79372,42294
Condeixa-a-Nova;0;0;87,625;821,332572;66,327118;9559,84764;0;5,384;10540,51633
Constância;0;0;0;142,621026;0;1114,82868;0;0,381;1257,830706
Coruche;0;0;0;980,424532;128,166428;6532,2124;0;16,534;7657,33736
Corvo;0;0;0;23,375164;0;94,95024;0;0;118,325404
Covilhã;0;0;27,899;2730,686002;244,364614;10632,50556;0;13,379;13648,83418
Crato;0;0;0;299,827098;0;1095,273;0;0,284;1395,384098
Cuba;0;0;0;308,338212;0;1534,7976;0;0;1843,135812
Elvas;0;0;23,852;721,69905;41,561988;9454,38528;12,59076;17,845;10271,93408
Entroncamento;0;0;0;1042,208998;128,635416;3395,66556;1442,85708;6,553;6015,920054
Espinho;0;0;23,622;14163,66342;1147,977064;54624,4734;0;4,806;69964,54189
Esposende;0;0;97,488;3400,038232;236,957318;13884,19376;0;18,285;17636,96231
Estarreja;0;0;189,917;2121,864958;195,200044;10418,3016;0;11,629;12936,9126
Estremoz;0;0;45,349;1051,38256;247,220766;7421,379;8,06148;41,48;8814,872806
Évora;0;0;209,283;5491,86923;310,513034;23789,89076;3,36;192,594;29997,51002
Fafe;0;0;127,146;2975,813396;312,26156;15229,62252;0;593,108;19237,95148
Faro;0;0;459,122;13971,50949;769,50601;38287,87128;1144,84524;161,263;54794,11702
Feira;0;0;247,919;6724,442508;693,915248;33595,27036;0;160,718;41422,26512
Felgueiras;0;0;84,549;2620,61221;424,766654;18514,37844;0;27,057;21671,3633
Ferreira do Alentejo;0;0;0;532,94986;141,926174;2202,77836;6,3;3,879;2887,833394
Ferreira do Zêzere;0;0;15,902;495,393982;16,39573;2839,24808;0;212,68;3579,619792
Figueira da Foz;0;0;2651,447;4415,368104;436,776366;22744,75344;0;43,664;30292,00891
Figueira de Castelo Rodrigo;0;0;0,055;80,568;6,78223;606,73956;0;0;694,14479
Figueiró dos Vinhos;0;0;0;425,87275;192,024196;2815,28856;0;2,379;3435,564506
Fornos de Algodres;0;0;0;275,868562;7,550556;1399,7046;0;0;1683,123718
Freixo de Espada à Cinta;0;0;0;68,658856;0;696,14664;0;1,832;766,637496
Fronteira;0;0;0;86,565094;0;377,2398;0;0;463,804894
Funchal;0;0;89,273;12682,69453;3482,735802;42564,75048;0;197,628;59017,08181
Fundão;0;0;76,114;1514,259894;148,157984;7836,73428;0;121,274;9696,540158
Gavião;0;0;0;0;0;0;0;3,998;3,998
Góis;0;0;0;147,817662;24,028472;517,24428;0;0,444;689,534414
Golegã;0;0;0;0;0;19,31412;0;2,807;22,12112
Gondomar;0;0;319,006;8194,624992;446,759326;29472,39928;0;243,22;38676,0096
Gouveia;0;0;0;686,393108;67,571218;2260,59708;0;1,788;3016,349406
Grândola;0;0;116,761;2612,016798;267,942948;18644,07564;17,14608;14,561;21672,50347
Guarda;0;0;90,796;3118,909624;298,93084;17980,16024;0;48,947;21537,7437
Guimarães;0;0,7;690,306;17038,13869;1634,73986;84758,97644;0;181,45;104304,311
Horta;0;0;0;2005,219652;0;3587,97012;0;66,672;5659,861772
Idanha-a-Nova;0;0;0;152,809894;0;599,98176;0;0,847;753,638654
Ílhavo;0;0;126,972;2392,460046;91,380276;11738,14158;0;378,362;14727,3159
Lagoa (Açores);0;0;0;1602,043206;27,955304;2153,22992;0;9,232;3792,46043
Lagoa (Algarve);0;0,739;186,157;4539,013874;53,059734;11638,98876;0;31,076;16449,03437
Lagos;0;0;117,75;4807,060626;334,3236;12547,471;0;4,058;17810,66323
Lajes das Flores;0;0;0;437,4917;0;1115,65944;0;1,834;1554,98514
Lajes do Pico;0;0;0;1419,975192;0;3085,81644;0;3,765;4509,556632
