DISTRITO;MUNICÍPIO;CODIGO;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018p
ÉVORA;REDONDO;0710;;;;;;;;;;;;;;;;;;2
ÉVORA;REGUENGOS DE MONSARAZ;0711;;;;;;;;;;;;;;;;;;0
ÉVORA;VENDAS NOVAS;0712;;;;;;;;;;;;;;;;;;1
ÉVORA;VIANA DO ALENTEJO;0713;;;;;;;;;;;;;;;;;;0
ÉVORA;VILA VIÇOSA;0714;;;;;;;;;;;;;;;;;;0
FARO;ALBUFEIRA;0801;;;;;;;;;;;;;1;;1;1;1;353
FARO;ALCOUTIM;0802;;;;;;;;;;;;;;;;;;
FARO;ALJEZUR;0803;;;;;;;;;;;;;282;350;282;283;251;249
FARO;CASTRO MARIM;0804;;;;;;;;;;;;;1;;1;1;1;0
FARO;FARO;0805;;;;;;2;2;147;469;884;1 131;1 297;1 590;1 345;1 549;1 599;1 649;1 738
FARO;LAGOA (ALGARVE);0806;;;;;;;;;;;;;;;;;;
FARO;LAGOS;0807;;;;;;;;;;;;;1;;1;1;;1
FARO;LOULÉ;0808;;;;;;;;;;;;;3;2;5;3;1;2
FARO;MONCHIQUE;0809;;;;;;;;;;;;;;;;;;
FARO;OLHÃO;0810;;199;713;1 054;1 133;3 103;3 103;2 441;1 913;2 073;2 149;2 022;2 515;2 336;2 511;2 529;2 662;2 854
FARO;PORTIMÃO;0811;;;;;600;1 199;2 871;3 134;3 132;3 162;3 366;3 163;4 603;4 641;4 507;4 628;5 148;5 195
FARO;SÃO BRÁS DE ALPORTEL;0812;;;;;;;;;;;;;;;;;;
FARO;SILVES;0813;;;;;;;;;;;262;440;605;701;646;608;796;837
FARO;TAVIRA;0814;;;;;;;;;;;;;;;;;;1
FARO;VILA DO BISPO;0815;;;;;;;;;;;;;;;;;;
FARO;VILA REAL DE SANTO ANTÓNIO;0816;;;;;;;;;;;;;3;1;3;3;2;0
GUARDA;AGUIAR DA BEIRA;0901;;;;;;;;;;;;;231;41;131;232;153;179
GUARDA;ALMEIDA;0902;;;;;;;;;440;260;637;23;;;;;;0
GUARDA;CELORICO DA BEIRA;0903;;;;;;;;;;;;;;;;;;0
GUARDA;FIGUEIRA DE CASTELO RODRIGO;0904;;;;;;;;;;;;;;;;;;0
GUARDA;FORNOS DE ALGODRES;0905;;;;;;;;;;;;;;;;;7;23
GUARDA;GOUVEIA;0906;;;;;;;;;;;;;;;;;;0
GUARDA;GUARDA;0907;;126;1 244;2 454;3 390;4 058;4 531;4 776;5 371;5 377;4 844;4 684;5 445;5 165;5 573;5 474;5 560;6 226
GUARDA;MANTEIGAS;0908;;;;;;;;;;;;;;;;;;
GUARDA;MEDA;0909;;;;;;;;;;;;;;;;;;0
GUARDA;PINHEL;0910;;;;;;;;;;;;;;;;;;0
GUARDA;SABUGAL;0911;;;;;;;;;;;;;222;45;137;223;194;201
GUARDA;SEIA;0912;;;;;;;34;397;995;1 096;1 174;1 153;1 282;1 306;1 410;1 289;1 318;1 534
GUARDA;TRANCOSO;0913;;;;;;;;;;;;;;;;;;0
GUARDA;VILA NOVA DE FOZ CÔA;0914;;;;;;;;;;;;;;;;;2;1
LEIRIA;ALCOBAÇA;1001;9 491;14 630;18 192;21 790;20 516;19 747;18 726;17 958;13 597;14 897;18 526;19 830;13 017;11 361;12 138;13 088;14 129;14 863
LEIRIA;ALVAIÁZERE;1002;;;;;;;;;;;;;53;;23;53;52;150
LEIRIA;ANSIÃO;1003;;;;;;;;;;;;;;;;;;0
LEIRIA;BATALHA;1004;2 929;3 420;4 117;4 435;4 788;4 819;5 775;5 248;6 892;7 277;5 976;5 182;7 960;7 584;8 656;8 004;7 772;7 776
LEIRIA;BOMBARRAL;1005;;;;;;;;;;;;;104;43;96;105;105;87
LEIRIA;CALDAS DA RAINHA;1006;10 388;11 474;12 689;13 756;11 479;8 876;8 276;6 392;5 451;5 843;5 889;5 418;5 878;5 261;6 014;5 910;5 744;6 357
LEIRIA;CASTANHEIRA DE PÊRA;1007;;;;;;;;;;;;;;;;;;0
LEIRIA;FIGUEIRÓ DOS VINHOS;1008;;;;;;;;;;;;;;;;;;
LEIRIA;LEIRIA;1009;28 083;27 918;25 433;26 860;26 836;26 217;* 32 394;22 098;18 621;18 700;20 231;23 001;24 146;24 501;24 879;24 277;25 372;26 723
LEIRIA;MARINHA GRANDE;1010;95 379;95 487;94 344;95 702;90 797;95 759;* 105 613;118 981;147 695;120 068;113 157;126 787;134 736;129 475;134 006;135 470;136 515;145 499
LEIRIA;NAZARÉ;1011;342;693;796;768;776;799;910;965;1 137;1 000;1 175;1 229;4 866;4 846;4 932;4 893;5 289;5 321
LEIRIA;ÓBIDOS;1012;;;;;;29;41;39;54;104;105;113;113;139;138;114;126;143
LEIRIA;PEDROGÃO GRANDE;1013;;;;;;;;;;;;;;;;;;0
LEIRIA;PENICHE;1014;;;;;;;;;;;;;594;;;598;1 321;1 555
LEIRIA;POMBAL;1015;19 531;29 060;59 711;89 366;108 717;112 125;116 068;103 180;96 598;103 959;117 989;112 993;49 538;84 707;60 333;49 808;52 168;48 293
LEIRIA;PORTO DE MÓS;1016;25 861;27 436;24 680;27 491;27 316;23 314;18 918;19 646;15 718;16 647;20 468;20 702;17 985;21 388;20 274;18 083;17 419;13 054
LISBOA;ALENQUER;1101;70 575;201 560;188 723;648 049;885 820;1 001 109;1 039 532;1 259 599;999 078;552 104;214 713;58 533;306 959;61 135;138 604;308 632;460 785;418 763
LISBOA;AMADORA;1115;20 993;22 432;25 796;28 157;30 168;31 794;32 074;47 868;29 880;26 583;30 827;38 784;40 014;38 114;41 757;40 232;27 600;42 067
LISBOA;ARRUDA DOS VINHOS;1102;;;;;;;;;;;;;;;;;2;77
LISBOA;AZAMBUJA;1103;7 256;9 090;8 869;8 888;9 634;13 667;9 825;9 926;10 261;11 956;10 364;10 923;9 477;10 758;11 733;9 529;8 389;7 333
LISBOA;CADAVAL;1104;;;;;;;;;1 697;1 874;8 744;11 901;1 738;1 338;1 413;1 747;2 064;1 987
LISBOA;CASCAIS;1105;3 698;6 098;7 248;8 210;10 209;11 669;13 900;15 100;16 191;17 832;29 140;16 992;18 357;16 224;21 195;18 457;16 366;17 344
LISBOA;LISBOA;1106;97 290;98 958;99 027;104 789;104 639;105 145;106 473;114 910;106 650;118 239;106 060;123 157;117 646;128 668;118 115;118 287;124 772;130 160
LISBOA;LOURES;1107;59 216;85 171;73 931;71 740;64 372;67 449;81 653;84 143;65 004;77 262;71 881;68 094;54 361;64 571;54 954;54 657;53 822;54 405
LISBOA;LOURINHÃ;1108;;;;;;;;;;;;;71;;12;71;79;200
LISBOA;MAFRA;1109;;;;;;1;93;1 312;1 586;1 948;2 222;2 454;2 794;2 338;3 526;2 810;2 485;3 151
LISBOA;ODIVELAS;1116;5 008;5 040;6 576;6 556;6 782;7 476;8 167;8 413;7 926;7 881;7 807;8 475;8 138;8 928;8 866;8 182;8 557;8 860
LISBOA;OEIRAS;1110;16 172;19 529;22 438;23 210;24 270;25 257;26 162;24 754;28 399;28 164;23 948;23 014;23 274;21 481;24 369;23 401;22 264;20 762
LISBOA;SINTRA;1111;20 673;23 570;26 271;27 734;28 898;30 263;32 904;26 192;32 469;31 881;35 465;31 892;27 032;29 970;29 324;27 179;27 882;29 695
LISBOA;SOBRAL DE MONTE AGRAÇO;1112;;;;;;;;;;;;;;;;;;0
LISBOA;TORRES VEDRAS;1113;50 267;49 885;41 791;47 185;46 466;45 384;47 852;44 814;31 294;30 514;25 319;13 799;24 893;26 862;25 259;25 029;25 218;25 704
LISBOA;VILA FRANCA DE XIRA;1114;18 272;61 652;106 126;108 529;122 488;136 807;142 180;131 631;113 904;125 556;136 837;142 218;48 724;45 547;49 984;48 990;100 050;47 232
PORTALEGRE;ALTER DO CHÃO;1201;;;;;;;;;;;;;;;;;;0
PORTALEGRE;ARRONCHES;1202;;;;;;;;;;;;;;;;;;
PORTALEGRE;AVIS;1203;;;;;;;;;;;;;1;;1;1;3;2
PORTALEGRE;CAMPO MAIOR;1204;;;;938;2 147;2 283;2 399;2 394;2 444;2 502;2 234;2 324;1 941;2 095;2 352;1 951;2 186;2 112
PORTALEGRE;CASTELO DE VIDE;1205;;;;;;;;;;;;;;;;;;0
PORTALEGRE;CRATO;1206;;;;;;;;;;;;;;;;;1;
PORTALEGRE;ELVAS;1207;;;;;;;79;255;281;494;470;571;592;593;587;596;724;859
PORTALEGRE;FRONTEIRA;1208;;;;;;;;;;;;;;;;;;
PORTALEGRE;GAVIÃO;1209;;;;;;;;;;;;;;;;;;
PORTALEGRE;MARVÃO;1210;;;;;;;;;;;;;;;;;;
PORTALEGRE;MONFORTE;1211;;;;;;;;;;;;;;;;;;
PORTALEGRE;NISA;1212;;;;;;;;;;;;;1;;;1;1;0
PORTALEGRE;PONTE DE SÔR;1213;;;;;23;903;1 163;1 232;565;618;425;448;555;452;574;558;603;699
PORTALEGRE;PORTALEGRE;1214;18 808;14 924;16 848;18 979;21 363;22 432;22 619;22 451;20 534;19 986;12 819;21 011;9 431;16 547;9 170;9 482;10 097;10 430
PORTALEGRE;SOUSEL;1215;;;;;;;;;;;;;1;1;1;1;2;2
PORTO;AMARANTE;1301;;;;;;;;109;674;1 001;1 223;1 342;2 323;2 042;2 255;2 336;2 376;3 735
PORTO;BAIÃO;1302;;;;;;;;;;;;;;;;;;1
PORTO;FELGUEIRAS;1303;;;;;;;;;28;258;622;625;885;794;937;890;1 099;1 126
PORTO;GONDOMAR;1304;1 011 232;1 204 716;934 544;1 054 765;1 096 109;715 533;786 477;896 609;834 546;874 538;819 761;472 725;475 676;182 855;378 557;478 268;551 925;704 275
PORTO;LOUSADA;1305;;;;;;;;;;;41;137;1 348;1 317;1 442;1 355;1 239;1 066
PORTO;MAIA;1306;9 932;13 377;18 574;20 371;23 425;24 356;29 297;42 255;39 415;46 240;47 643;46 826;39 212;42 405;40 427;39 426;43 086;46 589
PORTO;MARCO DE CANAVEZES;1307;;;;;;;;25;538;497;670;724;1 190;992;1 071;1 196;1 232;1 480
PORTO;MATOSINHOS;1308;20 767;24 713;26 085;29 806;29 482;24 567;30 747;33 314;57 615;86 068;124 220;141 378;294 825;286 856;304 630;296 431;377 623;285 202
PORTO;PAÇOS DE FERREIRA;1309;;;;;;;;;;7;244;346;1 125;2 008;1 117;1 131;1 418;1 446
PORTO;PAREDES;1310;;;;;;22;345;730;1 250;1 322;1 565;1 465;1 663;1 633;1 768;1 672;1 779;1 809
PORTO;PENAFIEL;1311;;;;;;445;1 580;2 024;2 307;2 992;2 820;2 823;3 163;3 385;3 448;3 181;3 501;3 606
PORTO;PORTO;1312;23 030;28 115;31 727;35 225;34 590;34 697;35 459;37 344;41 063;44 501;42 230;52 247;64 030;70 036;73 782;64 379;70 295;65 986
PORTO;PÓVOA DE VARZIM;1313;;;;;;;;57;601;1 352;1 608;1 955;2 669;3 090;2 667;2 684;3 178;3 664
PORTO;SANTO TIRSO;1314;31 652;31 328;35 939;39 797;39 155;39 891;41 101;39 125;31 700;33 863;31 306;27 028;35 879;31 149;36 694;36 075;37 048;35 958
PORTO;TROFA;1318;18 686;23 043;24 477;17 086;17 676;19 575;25 984;9 444;8 704;10 473;9 166;10 511;9 378;11 418;9 398;9 429;9 800;10 018
PORTO;VALONGO;1315;5 882;6 881;7 038;2 977;3 392;3 458;4 269;4 208;5 058;5 522;5 424;5 262;4 096;4 757;4 346;4 119;5 054;5 519
PORTO;VILA DO CONDE;1316;4 577;5 316;3 758;7 923;11 459;12 978;11 297;11 788;16 323;18 962;10 058;12 567;14 134;13 768;16 087;14 211;13 486;14 420
PORTO;VILA NOVA DE GAIA;1317;29 954;32 854;32 183;45 929;48 299;49 964;59 682;63 593;42 354;66 594;65 209;62 077;60 822;67 405;70 371;61 154;75 205;65 927
SANTARÉM;ABRANTES;1401;;;;;;15;374;896;1 271;107 590;278 346;268 654;196 107;2 392;104 498;197 176;617 041;347 572
SANTARÉM;ALCANENA;1402;;;;1 461;2 063;2 018;2 473;2 942;2 580;2 611;2 661;2 024;2 669;2 369;2 392;2 684;2 523;2 330
SANTARÉM;ALMEIRIM;1403;;;;;;;12;109;214;342;2 138;3 984;3 254;2 688;3 866;3 272;3 356;3 164
SANTARÉM;ALPIARÇA;1404;;;;;;;182;752;1 149;1 319;1 584;1 702;1 479;1 593;1 538;1 487;1 716;1 234
SANTARÉM;BENAVENTE;1405;5 417;9 024;9 572;9 625;10 034;10 465;4 959;5 111;4 095;11 356;12 069;15 110;15 925;14 420;17 935;16 012;17 486;13 508
SANTARÉM;CARTAXO;1406;;1 808;2 192;2 477;2 908;2 833;3 173;3 170;2 025;2 735;1 114;579;2 219;2 021;2 600;2 232;2 319;2 364
SANTARÉM;CHAMUSCA;1407;;;;;;;;;;;;;583;2 624;379;586;1 436;2 855
SANTARÉM;CONSTÂNCIA;1408;;;;;;;;;;;;;1 934;414;1 467;1 945;5 625;7 756
SANTARÉM;CORUCHE;1409;;;;;;;;;;;;;994;3 559;572;1 000;659;1 064
SANTARÉM;ENTRONCAMENTO;1410;1 065;2 997;2 510;2 853;2 774;3 599;5 353;5 748;5 204;5 013;5 742;5 192;9 455;5 917;8 291;9 507;9 644;6 564
SANTARÉM;FERREIRA DO ZÊZERE;1411;;;;;;;;;;;;;;;;;1;0
SANTARÉM;GOLEGÃ;1412;;;;;;;;;;;;;253;;123;255;233;296
SANTARÉM;MAÇÃO;1413;;;;;;;;;;;;;;8;;;;0
SANTARÉM;RIO MAIOR;1414;;;;2 866;2 946;3 205;3 858;3 793;4 362;3 716;7 318;6 624;10 678;7 802;10 381;10 736;10 872;10 032
SANTARÉM;SALVATERRA DE MAGOS;1415;;;;;;;;;;;264;762;865;988;895;870;627;791
SANTARÉM;SANTARÉM;1416;;;1 461;6 046;18 381;19 488;23 711;27 944;21 653;29 138;31 599;30 455;34 771;30 985;30 935;34 961;34 150;32 397
SANTARÉM;SARDOAL;1417;;;;;;;;;;;;;;;;;;0
SANTARÉM;TOMAR;1418;;;;901;4 696;5 709;6 100;5 436;5 258;7 920;7 154;5 495;2 576;4 289;3 698;2 590;3 159;1 410
SANTARÉM;TORRES NOVAS;1419;;1 322;18 884;20 612;20 825;22 882;24 193;26 105;29 696;29 550;28 305;29 226;30 668;29 152;29 582;30 835;32 239;31 638
SANTARÉM;VILA NOVA DA BARQUINHA;1420;;;;;;33;156;213;214;227;224;236;290;271;295;291;310;340
SANTARÉM;VILA NOVA DE OURÉM;1421;;460;3 544;4 409;4 387;5 201;6 220;5 295;3 012;3 146;3 231;2 537;3 068;3 096;3 285;3 084;5 371;10 410
SETÚBAL;ALCÁCER DO SAL;1501;;;;;;;;;;;;;2 928;1 247;2 555;2 944;2 982;2 238
SETÚBAL;ALCOCHETE;1502;2 139;2 391;2 785;2 805;2 964;3 539;3 328;10 405;10 596;7 304;8 215;12 239;4 024;4 923;4 309;4 046;3 974;3 938
SETÚBAL;ALMADA;1503;3 793;4 983;32 957;32 476;34 950;33 893;37 575;39 452;38 592;41 601;37 342;41 303;41 825;40 284;50 189;42 053;44 742;43 090
SETÚBAL;BARREIRO;1504;12 819;13 652;15 487;15 816;13 552;12 781;14 675;12 067;7 332;61 357;67 697;67 799;61 067;66 873;74 397;61 400;7 060;62 547
SETÚBAL;GRÂNDOLA;1505;;;;;;;;;;;;;;;;;;0
SETÚBAL;MOITA;1506;850;1 302;1 431;1 833;1 994;2 413;2 273;2 575;2 714;2 794;2 446;2 775;2 177;2 618;2 512;2 189;2 458;2 679
SETÚBAL;MONTIJO;1507;8 553;12 815;14 846;17 266;17 328;15 534;15 685;12 022;10 250;14 170;12 115;11 710;12 260;8 253;8 504;12 327;12 435;12 224
SETÚBAL;PALMELA;1508;11 605;10 407;11 125;10 224;11 437;11 992;16 345;15 416;15 102;16 929;15 621;14 951;13 302;15 178;14 917;13 374;14 298;14 629
SETÚBAL;SANTIAGO DO CACÉM;1509;;;;;;;;;;;;;1;1;1;1;160;290
