Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Castanheira de Pêra;0;0;0;117,230916;21,90747;457,9386;0;0;0,087;0;597,163986
Castelo Branco;0;0;110,153;4769,294376;236,982954;23427,29256;0;0;527,979;0;29071,70189
Castelo de Paiva;0;0;52,732;1612,469302;195,145756;5248,47204;0;0;23,359;0;7132,178098
Castelo de Vide;0;0;1,43;212,083324;6,166966;810,86376;0;0;0;0;1030,54405
Castro d’Aire;0;0;15,074;686,202878;128,256154;3064,87104;0;0;213,553;0;4107,957072
Castro Marim;0;0;0;215,591016;11,90189;784,63224;0;0;0,86;0;1012,985146
Castro Verde;0;0;0;417,206468;49,178896;2635,94856;0;0;4,078;0;3106,411924
Celorico da Beira;0;0;0;396,748164;73,000018;3366,7644;0;0;0,317;0;3836,829582
Celorico de Basto;0;0;5,731;767,810056;172,113318;3195,70272;0;0;2,554;0;4143,911094
Chamusca;0;0;0;597,142414;41,693184;3105,7488;0;0;2,127;0;3746,711398
Chaves;0;0;37,004;1796,031554;182,68289;12126,01908;0;0;44,175;0;14185,91252
Cinfães;0;0;0;616,249712;83,321524;2424,19464;0;0;0;0;3123,765876
Coimbra;0;0;1331,211;15378,49757;863,692858;56311,06908;0;0;303,946;21,176;74209,59251
Condeixa-a-Nova;0;0;74,939;878,28818;58,93641;8998,93932;0;0;0,387;0;10011,48991
Constância;0;0;0;205,984774;1,50423;667,48836;0;0;0,815;0;875,792364
Coruche;0;40,409;0;1039,19292;172,215862;5734,62876;0;0;14,631;0;7001,077542
Corvo;0;0;0;21,934638;0;63,59976;0;0;0;0;85,534398
Covilhã;0;0;47,814;2638,793722;250,273142;10052,49;0;0;12,081;0,193;13001,64486
Crato;0;0;0;355,426478;12,759188;1369,75692;0;0;0;0;1737,942586
Cuba;93,357;66,405;0;220,969676;22,78588;1023,15444;0;0;8,376;0;1435,047996
Elvas;0;0;41,596;920,05672;54,43126;6190,45896;0;0;12,259;0;7218,80194
Entroncamento;0;0;0;1807,089512;133,237078;4930,97304;1042,22076;0;24,721;0;7938,24139
Espinho;0;0;22,402;2939,532432;158,499848;6217,52376;0;0;8,972;0,381;9347,31104
Esposende;0;0;73,616;2541,816706;128,983764;6744,61452;0;0;4,425;0,132;9493,58799
Estarreja;0;0;331,322;1973,366944;237,789734;10514,62608;0;0;6,479;0;13063,58376
Estremoz;0;0;55,91;1300,828548;193,74407;7116,8034;0;0;36,586;0;8703,872018
Évora;0;0;167,538;4154,653786;207,145096;17486,5912;0;0;862,983;0;22878,91108
Fafe;0;0;0,374;3976,98568;718,790462;18250,4322;0;0;52,261;14,081;23012,92434
Faro;0;0;456,177;7253,466916;291,842652;19785,8852;1050,44184;0;258,65;0;29096,46361
Feira;0;0;313,481;10211,09507;1063,086466;31933,78944;0;0;62,556;457,416;44041,42398
Felgueiras;0;0;123,01;2512,324342;558,0731;14439,20772;0;0;11,96;0;17644,57516
Ferreira do Alentejo;0;0;0;73,281072;0;651,58968;0;0;1,943;0;726,813752
Ferreira do Zêzere;0;0;13,466;530,794666;46,132736;3140,52144;0;0;207,835;0;3938,749842
Figueira da Foz;0;0;2681,591;4929,047292;497,72671;20277,63864;0;0;185,612;4,309;28575,92464
Figueira de Castelo Rodrigo;0;0;0;217,881982;15,439658;987,15456;0;0;0;0;1220,4762
Figueiró dos Vinhos;0;0;0;388,905466;113,504144;2215,2018;0;0;2,206;0;2719,81741
Fornos de Algodres;0;0;0;237,778548;18,58987;949,39068;0;0;0;0;1205,759098
Freixo de Espada à Cinta;0;0,8;0;61,922476;2,258984;639,93384;0;0;3,32;0;708,2353
Fronteira;0;0;0;95,416384;12,165036;524,9706;0;0;0,137;0;632,68902
Funchal;0;5,171;0;14551,83856;2516,370194;40233,62028;0;0;213,704;0;57520,70403
Fundão;0;0;26,47;1893,276384;129,78602;7472,70384;0;0;43,851;0;9566,087244
Góis;0;0;0;165,379248;31,4418;726,60336;0;0;0,185;21,43;945,039408
Golegã;0;0;0;0;0;71,2446;0;0;0,531;0;71,7756
Gondomar;0;0;259,335;15980,13239;415,422332;37382,93748;0;0;482,698;5,123;54525,64821
Gouveia;0;0;5,788;837,023936;109,765812;2662,60764;0;0;1,182;0;3616,367388
Grândola;0;0;189,543;2098,191394;186,679844;13919,57868;0;0;9,591;0;16403,58392
Guarda;0;0;110,433;3388,923578;226,426954;17573,11392;0;0;91,082;0;21389,97945
Guimarães;0;0;539,226;12347,73232;978,809624;49612,1254;0;0;118,219;804,014;64400,12634
Horta;0;0;0;1833,60832;48,45958;2661,77688;0;0;2,875;0;4546,71978
Idanha-a-Nova;0;0;0;194,05698;10,782954;840,57036;0;0;1,937;0;1047,347294
Ílhavo;0;0;0;1254,810046;48,133852;4039,62888;0;0;539,652;0;5882,224778
Lagoa (Açores);0;0;0;1064,448004;70,886556;1164,9078;0;0;5,034;0;2305,27636
Lagoa (Algarve);0;1,53;21,984;4453,17613;239,238168;10764,83184;0;0;9,201;0;15489,96114
Lagos;0;0;74,809;4573,59918;286,065338;10455,53376;0;0;1,805;0;15391,81228
Lajes das Flores;0;0;0;388,319856;0;618,83808;0;0;4,355;0;1011,512936
Lajes do Pico;0;0;0;1147,964196;31,570734;1913,12268;0;0;1,491;0;3094,14861
Lamego;0;0,5;48,578;1639,917626;221,029436;6030,04668;0;0;17,006;0;7957,077742
Leiria;0;0;844,565;11510,00565;1288,148864;83682,58812;0;0;923,732;421,118;98670,15764
Lisboa;0;0;1471,95;53855,36479;2455,592664;159639,7771;586,28052;0;1969,315;286,381;220264,6611
Loulé;0;0;140,444;8951,427818;562,384472;26130,63296;0;0;62,201;13,05;35860,14025
Loures;0;0;428,352;20959,3273;795,677718;86252,53812;0;0;516,285;0;108952,1801
Lourinhã;0;1,065;182,898;3162,370092;264,18275;10291,45656;0;0;202,788;0;14104,7604
Lousã;0;0;72,32;797,956662;138,055138;3252,94732;0;0;139,095;25,929;4426,30312
Lousada;0;0;150,116;2790,160852;543,195172;14601,29412;0;0;36,059;9,68;18130,50514
Mação;0;0;0;1219,79206;169,64246;12178,02684;0;0;30,396;0;13597,85736
Macedo de Cavaleiros;0;0;0;180,469336;65,482638;1567,8222;0;0;0;0;1813,774174
Machico;0;0;0;409,447322;75,630724;1105,09476;0;0;0,539;0;1590,711806
Madalena;0;0;0;407,5025;8,848944;1034,68848;0;0;6,378;0;1457,417924
Mafra;0;0;182,894;4233,467194;285,577114;22651,97912;0;0;344,535;0;27698,45243
Maia;0;21,71;21,694;14191,09683;592,596664;50701,88844;0;0;468,07;31,867;66028,92293
Mangualde;0;0;12,627;1754,512924;125,489728;7539,70224;0;0;63,559;0;9495,890892
Manteigas;0;0;13,926;124,217206;52,372086;426,56712;0;0;0,71;0;617,792412
Marco de Canavezes;0;0;21,159;3659,817812;887,546218;12641,57664;0;0;50,765;0;17260,86467
Marinha Grande;0;0;151,266;2396,421306;179,962458;7467,91164;0;0;64,486;0;10260,0474
Matosinhos;0;0;417,886;71493,04801;5967,358606;324798,5787;0;26,6682;2653,351;666,079;406022,9695
Mealhada;0;0;65,705;1868,412204;221,946686;8639,28492;0;0;16,146;0;10811,49481
Meda;60,064;36,497;0;147,425266;44,964036;905,59644;0;0;1,625;0;1196,171742
Melgaço;0;0;0;113,50763;59,930182;705,5748;0;0;0,761;0;879,773612
Mértola;0;0;0;317,922074;31,525494;1569,0952;0;0;7,866;0;1926,408768
Mesão Frio;0;0;0;276,83687;34,113976;1115,331;0;0;0;0;1426,281846
Mira;0;0;0;496,904632;114,588396;1750,38948;0;0;0,937;0;2362,819508
Miranda do Corvo;0;0;0;373,419998;71,577974;1921,56132;0;0;3,826;14,96;2385,345292
Miranda do Douro;0;0;0;368,070432;20,438678;2233,41804;0;0;10,316;0;2632,24315
Mirandela;0;0;12,539;1061,649012;369,607784;6788,2962;0;0;15,068;0;8247,159996
Mogadouro;0;0;0;282,97272;76,206026;1968,49296;0;0;11,272;0;2338,943706
Moimenta da Beira;0;0;0;753,239184;109,588622;2962,39776;0;0;0,443;0;3825,668566
Moita;0;0;328,591;3647,106718;120,713892;8978,80368;0;0;23,404;0;13098,61929
Monção;0;0;0;613,109052;50,922898;4190,45424;0;0;5,098;0;4859,58419
Monchique;0;0;0;382,316794;80,392988;1290,39624;0;0;1,398;0;1754,504022
Mondim de Basto;0;0;0,385;300,378392;55,33983;2060,23944;0;0;3,225;0;2419,567662
Monforte;0;0;0;113,624752;3,141164;481,89876;0;0;0;0;598,664676
Montalegre;0;0;0;409,992648;73,63187;2357,00136;0;0;1,588;0;2842,213878
Montemor-o-Novo;0;0;33,035;4906,518838;138,18935;9467,11416;0;0;2,683;0;14547,54035
Montemor-o-Velho;0;0;141,945;1092,501334;206,266502;5103,72324;0;0;10,282;0,052;6554,770076
Montijo;0;0;374,503;6073,47694;305,926452;25004,55096;0;0;43,366;2,438;31804,26135
Mora;0;0;38,736;328,268348;70,71766;1601,94048;0;0;0,888;0;2040,550488
Mortágua;0;0;14,478;567,301668;101,036754;3012,91032;0;0;3,483;0;3699,209742
Moura;0;0;0;538,188272;24,317254;2391,59592;0;0;3,068;0;2957,169446
Mourão;0;0;0;141,9638;5,33455;680,4756;0;0;0;0;827,77395
Murça;0;0;0;392,278878;81,124368;2158,60512;0;0;4,625;0;2636,633366
Murtosa;0;0;0,253;422,868608;34,71793;1293,22032;0;0;0,194;0;1751,253858
Nazaré;0;0;0;1127,658822;43,555564;2992,86456;0;0;0,496;0;4164,574946
Nelas;0;0;0;946,23013;71,517654;3878,35812;0;0;0,11;0;4896,215904
Nisa;0;0;0;178,746822;11,478142;662,7222;0;0;0,033;0;852,980164
Nordeste;0;0;0;256,445706;8,239712;480,83448;0;0;4,206;0;749,725898
Óbidos;0;0;54,179;555,840124;60,890024;2562,95256;0;0;1,503;0;3235,364708
Odemira;0;0;0;2078,964736;142,672634;7016,56116;0;0;5,035;0;9243,23353
Odivelas;0;2,383;84,28;5317,440256;128,10837;18509,27064;0;0;123,746;0;24165,22827
Oeiras;0;0;609,244;16031,82721;701,799974;44763,09864;0;0;999,061;0;63105,03082
Oleiros;0;0;0;253,76309;34,682492;2630,82456;0;0;65,441;0;2984,711142
Olhão;0;0,205;75,936;3157,462904;144,620216;7876,37508;0;0;32,462;0;11287,0612
Oliveira de Azeméis;0;0;0,22;3565,251122;413,522252;16017,0528;0;0;56,573;10,602;20063,22117
Oliveira de Frades;0;0;47,052;416,030772;96,65903;3183,08676;0;0;11,443;0;3754,271562
Oliveira do Bairro;0;0;55,903;1593,323212;194,917294;5718,1698;0;0;277,219;0;7839,532306
Oliveira do Hospital;0;0;3,055;2141,394492;294,200998;8879,10492;0;0;4,68;0;11322,43541
Ourique;0;0;0;438,545052;31,640856;2082,2928;0;0;15,366;0;2567,844708
Ovar;0;0;273,143;3847,756846;302,106688;17037,90228;0;0;38,369;1,769;21501,04681
Paços de Ferreira;0;0;312,345;4599,133268;561,975804;16940,01748;0;0;539,337;5,157;22957,96555
Palmela;0;0;378,702;5409,778644;235,548846;24202,39304;0;0;87,221;0;30313,64353
Pampilhosa da Serra;0;0;0;159,008408;45,308614;1048,61904;0;0;0,362;0;1253,298062
Paredes;0;1,001;213,208;4127,284538;502,6541;14992,37292;0;0;148,129;12,315;19996,96456
Paredes de Coura;0;0;0,198;417,41311;43,36631;1194,59592;0;0;1,78;0,062;1657,41534
Pedrogão Grande;0;0;0;143,501306;19,6794;645,47868;0;0;0,294;0;808,953386
Penacova;0;2,475;46,55;579,659158;88,484916;3375,37116;0;0;1,962;0,88;4095,382234
Penafiel;0;13,562;130,575;3754,007772;543,259262;16338,6384;0;0;16,905;0;20796,94743
Penalva do Castelo;0;0;0;424,001036;25,731004;1298,27712;0;0;0,368;0;1748,37716
Penamacor;0;0;0;211,898316;30,557358;999,77136;0;0;0;0;1242,227034
Penedono;0;0;0;111,171158;44,32766;611,5578;0;0;0;0;767,056618
Penela;0;0;0;102,68317;26,253526;972,13032;0;0;2,71;0;1103,777016
Peniche;0;0;0,33;2170,2259;112,507356;6207,89988;0;0;33,936;0;8524,899136
Peso da Régua;0;0;0;1129,427588;189,620444;5156,60292;1557,4272;0;5,083;0;8038,161152
Pinhel;0;0;3,002;189,99128;16,91976;2707,21836;0;0;3,218;0;2920,3494
Pombal;0;0;418,543;3067,377436;695,298084;31826,65004;0;0;197,712;37,951;36243,53156
Ponta Delgada;0,332;0;0;9883,80995;408,379972;25521,9342;0;0;268,816;0;36083,27212
Ponta do Sol;0;0;0;1138,247546;227,991504;2696,46468;0;0;0;0;4062,70373
Ponte da Barca;0;0;0;631,512872;68,09751;1867,0302;0;0;0,119;51,323;2618,082582
Ponte de Lima;0;0;106,313;2695,568798;359,79749;11708,54496;0;0;414,444;4,518;15289,18625
Ponte de Sôr;0;0;3,651;1049,884592;146,40418;4452,98868;0;0;4,835;0;5657,763452
Portalegre;0;0;46,318;2259,710092;41,034188;9272,90448;0;0;13,198;0;11633,16476
Portel;0;0;0;211,111286;22,418682;1013,23236;0;0;0;0;1246,762328
Portimão;0;0;302,602;9280,015454;568,049274;24035,00316;0;0;34,413;0;34220,08289
Porto;0;0;714,394;22655,12629;1044,916556;59241,97032;2461,37808;0;468,238;0;86586,02325
Porto de Mós;0;0;179,208;1578,76726;271,863748;10252,45704;0;0;15,835;0;12298,13105
Porto Moniz;0;0;0;132,868568;37,436854;352,57824;0;0;0,077;0;522,960662
Porto Santo;0;0;0;211,760306;41,847;941,56776;0;0;0,329;0;1195,504066
Póvoa de Lanhoso;0;0;0,33;508,108806;85,598604;1955,00256;0;0;12,725;69,676;2631,44097
Póvoa de Varzim;0;0;383,436;5376,363066;291,737864;20363,25564;0;0;126,475;27,906;26569,17357
Povoação;0;0;0;769,68923;38,840802;1704,33144;0;0;0;0;2512,861472
Proença-a-Nova;0;0;0;419,921908;33,532642;1687,4844;0;0;0;0;2140,93895
Redondo;0;0;0;335,056948;12,400284;1222,38312;0;0;4,093;0;1573,933352
Reguengos de Monsaraz;0;0;0;544,92689;30,163016;2042,72964;0;0;8,229;0;2626,048546
Resende;0;0;0,913;653,722038;73,155342;2026,11444;0;0;3,511;0;2757,41582
Ribeira Brava;0;0;0;977,473356;237,273998;5495,16492;0;0;114,877;0;6824,789274
Ribeira de Pena;0;0;0;203,77363;87,365226;1081,6974;0;0;0;0;1372,836256
Ribeira Grande;0;0;0;1771,360588;127,996778;2384,73732;0;0;13,894;0;4297,988686
Rio Maior;0;0;79,895;1000,514312;170,99966;5431,40136;0;0;11,782;490,034;7184,626332
Sabrosa;0;0;0;178,983304;8,230664;674,54856;0;0;0,633;2,7;865,095528
Sabugal;0;0;12,118;522,587174;87,336574;2436,8652;0;0;1,482;0;3060,388948
Salvaterra de Magos;0;0;90,62;1236,32715;77,214878;6486,60324;0;0;34,236;0;7925,001268
Santa Comba Dão;0;0;24,72;592,199418;97,60907;2936,40228;0;0;0,478;0;3651,408768
Santa Cruz;0;5,761;0;4338,852376;791,288316;9333,0846;0;0;27,805;0;14496,79129
Santa Cruz da Graciosa;0;0;0;459,489002;5,278;581,7378;0;0;0,2;0;1046,704802
Santa Cruz das Flores;0;0;0;0;0;27,0774;0;0;0;0;27,0774
Santa Marta de Penaguião;0;0;0;139,476636;72,418684;818,34312;0;0;0;0;1030,23844
Santana;0;0;0;1306,464578;265,564832;4367,98656;0;0;0;0;5940,01597
Santarém;0;2,87;476,059;7073,35939;522,635652;34985,99464;0;0;128,141;0;43189,05968
Santiago do Cacém;0;0;0;1544,520638;143,792324;9243,76152;0;0;12,924;0;10944,99848
Santo Tirso;0;0;2,002;9864,313986;990,079092;42525,94896;0;0;133,199;0,792;53516,33504
São Brás de Alportel;0;0;19,937;482,53891;36,328474;1367,41248;0;0;0,577;0;1906,793864
São João da Madeira;0;0;402,623;1974,599336;160,96015;8519,50092;0;0;1,432;0,019;11059,13441
São João da Pesqueira;0;0;0;279,109186;101,12271;1714,0452;0;0;0,389;0;2094,666096
São Pedro do Sul;0;0;0;962,263908;176,20695;2753,56032;0;0;48,644;0;3940,675178
São Roque do Pico;0;0;0;89,807956;0;119,238;0;0;0,072;0;209,117956
São Vicente;0;0;0;628,008164;167,41816;2394,9156;0;0;0,546;0;3190,887924
Sardoal;0;0;0;297,812898;0;950,8758;0;0;0,706;0;1249,394698
Sátão;0;0;12,806;351,856122;37,362962;1498,75656;0;0;0,234;0;1901,015644
Seia;0;0;51,233;1696,75835;121,907474;5131,00476;0;0;1,99;0;7002,893584
Seixal;0;0;530,821;12622,38789;427,963798;30275,38044;0;0;48,506;51,276;43956,33512
Sernancelhe;0;0;0;191,600402;32,1581;993,95184;0;0;0,054;0;1217,764342
Serpa;0;0;0;404,144008;52,045604;1900,45464;0;0;1,255;0;2357,899252
Sertã;0;0;29,131;942,826132;90,994228;10085,775;0;0;346,965;0;11495,69136
Sesimbra;0;0;0,165;4610,27254;168,023622;12450,25864;0;0;13,291;69,683;17311,6938
Setúbal;0;0;41,326;13969,74818;532,963392;64683,85236;1583,56212;255,187465;1067,181;0;82133,82052
Sever do Vouga;0;0;20,023;607,925098;194,012494;3172,17432;0;0;6,299;0;4000,433912
Silves;0;0;79,499;5248,232344;328,310818;17171,80572;0;0;56,071;0;22883,91888
Sines;0;0;39,166;9717,232626;677,498406;37895,31736;0;0;324,289;0;48653,50339
Sintra;7,665;3,135;856,156;30074,9706;1119,295658;83848,04668;0;0;477,23;18,85;116405,3489
Sobral de Monte Agraço;0;7,561;3,415;487,610964;42,236818;2674,85148;0;0;4,553;0;3220,228262
Soure;0;0;61,385;942,6829;179,70459;4435,10508;0;0;5,004;0;5623,88157
Sousel;0;0;0;120,481984;14,684904;658,14168;0;0;0;0;793,308568
Tábua;0;0;0;685,679932;88,66286;2534,22888;0;0;10,69;0;3319,261672
Tabuaço;0;0;0;33,809466;12,814984;170,78712;0;0;0;0;217,41157
Tarouca;0;0;0;455,653816;111,042334;2624,67912;0;0;3,767;0;3195,14227
Tavira;0;0;0;2659,237106;139,509604;6883,22124;0;0;3,638;0;9685,60595
Terras do Bouro;0;0;0;412,825956;44,197972;1212,75336;0;0;1,084;0,081;1670,942288
Tomar;0;0;135,56;3185,610976;260,44063;10767,8088;0;8,449155;15,372;0;14373,24156
Tondela;0;0;69,759;2309,45561;310,611808;7536,34728;0;0;3,63;0;10229,8037
Torre de Moncorvo;0;1;5,482;231,060818;56,903626;2192,84772;0;0;138,596;0;2625,890164
Torres Novas;0;0;283,337;3152,679552;209,05404;12874,97484;0;0;35,741;0;16555,78643
Torres Vedras;0;0;694,599;5948,3056;428,864074;39338,77752;0;0;145;77,26;46632,80619
Trancoso;0;0;0;464,768444;138,746556;2551,7772;0;0;0;0;3155,2922
Trofa;0;0;186,388;3387,874702;197,066948;15705,19692;0;0;273,9;9,317;19759,74357
Vagos;0;0;0,385;1348,139868;228,380568;5711,48256;0;0;81,569;0;7369,956996
Vale de Cambra;0;0;14,002;1934,399634;197,881268;8307,32028;0;0;10,836;1;10465,43918
Valença;0;0,603;43,076;300,691712;28,356432;1960,07112;0;0;1,224;0;2334,022264
Valongo;0;0;524,452;10925,01334;438,426302;37329,03804;0;0;94,094;3,767;49314,79068
Valpaços;0;0;0;409,24814;95,650932;2698,08;0;0;13,52;0;3216,499072
Velas;0;0;0;618,839824;12,067016;1144,03128;0;0;1,925;0;1776,86312
Vendas Novas;0;0;0;954,14519;61,960704;4945,04892;0;0;3,569;24,12;5988,843814
Viana do Alentejo;0;0;0;277,84397;20,337808;1419,55196;0;0;459,935;0;2177,668738
Viana do Castelo;0;0;20,595;7385,582024;489,329026;23437,82888;434,35476;0;134,527;154,342;32056,55869
Vidigueira;0;0;0;402,60874;37,044774;1349,19708;0;0;1,962;0;1790,812594
Vieira do Minho;0;0;0;524,383542;70,639244;1610,92848;0;0;0,357;0;2206,308266
Vila de Rei;0;0;0;164,118508;29,093844;713,56908;0;0;0;0;906,781432
Vila do Bispo;0;0;0;590,311292;45,077136;1139,60952;0;0;0;0;1774,997948
Vila do Conde;0;0;152,228;5364,219678;231,592608;23667,96852;0;0;161,37;14,469;29591,84781
Vila do Porto;0;0;0;724,163088;38,82346;873,71088;0;0;4,701;0;1641,398428
Vila flor;0;0;0;147,585656;56,034264;1218,58296;0;0;2,673;0;1424,87588
Vila Franca de Xira;0;2,954;154,387;9290,823502;365,6146;48311,63148;0;0;236,292;0;58361,70258
Vila Franca do Campo;0;0;0;576,041804;19,815874;634,28064;0;0;3,269;0;1233,407318
Vila Nova da Barquinha;0;0;0;299,25044;22,843938;836,47956;0;0;438,574;0;1597,147938
Vila Nova de Cerveira;0;0;0,319;196,573984;11,610092;697,746;0;0;0;0;906,249076
Vila Nova de Famalicão;0;0;833,933;11307,95006;813,093242;37840,15284;0;0;92,158;14,701;50901,98814
Vila Nova de Foz Côa;0;0;0;277,856652;40,828346;1531,20996;0;0;3,475;0;1853,369958
Vila Nova de Gaia;0;2,253;926,93;26982,89535;1280,00972;102401,9469;0;0;1717,64;1,66;133313,335
Vila Nova de Ourém;0;0;0;3113,589152;658,197864;49210,05348;0;0;265,024;0;53246,8645
Vila Nova de Paiva;0;0;0;487,27974;83,292872;1695,30312;0;0;315,807;0;2581,682732
Vila Nova de Poiares;0;0;0;362,549286;90,798942;1975,09452;0;0;6,247;0,88;2435,569748
