Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Abrantes;0;0;142,229;2113,816364;134,969016;9166,61004;0;0;15,054;0;11572,67842
Águeda;0;0;123,859;3431,893924;391,358422;16118,54496;0;0;1297,57;0,44;21363,66631
Aguiar da Beira;0;0;17,729;345,143614;76,004708;2475,60852;0;0;18,327;0;2932,812842
Alandroal;0;0;0;71,31014;0;216,81912;0;0;0;0;288,12926
Albergaria-a-Velha;0;0;135,169;2191,689066;254,20733;13981,968;366,87924;0;30,102;0,064;16960,07864
Albufeira;0;0;149,208;5859,380908;277,809976;17628,95736;0;0;56,362;0;23971,71824
Alcácer do Sal;0;0;0;1351,093282;110,747888;7914,76912;0;0;21,487;0;9398,09729
Alcanena;0;15,042;45,381;54171,77099;3521,627876;159533,2418;0;0;203,738;0;217490,8017
Alcobaça;0;0;182,418;3255,171746;364,241934;17784,081;0;0;214,106;1,76;21801,77868
Alcochete;0;0;199,894;2397,414978;166,024768;14562,65172;0;0;16,704;0;17342,68947
Alcoutim;0;0;0;116,91685;1,130246;702,97668;0;0;3,149;0;824,172776
Alenquer;0;0;8,388;2443,941506;144,004952;22537,65552;0;16,924505;742,647;53,682;25947,24348
Alfândega da Fé;0;0;0;3273,44427;728,520078;15669,01644;0;0;0;0;19670,98079
Alijó;0;0;0;428,135368;141,946532;2419,0614;0;0;1,731;0;2990,8743
Aljezur;0;0;0;773,675108;80,625974;2084,263;0;0;2,654;0;2941,218082
Aljustrel;0;0;22,262;912,08571;57,570346;5474,73568;0;0;108,426;0;6575,079736
Almada;0;3,666;134,486;18632,36307;675,739692;46748,34192;0;0;160,115;0,026;66354,73768
Almeida;0;0;0;196,046562;22,777586;3698,84508;0;0;3,673;0;3921,342228
Almeirim;0;0;234,677;3580,422524;263,55693;16793,2968;0;0;9,189;0;20881,14225
Almodôvar;0;0;25,02;967,676138;106,56282;4775,57052;0;0;6,499;0;5881,328478
Alpiarça;0;0;0;426,169658;37,29284;1548,03516;0;0;1,832;0;2013,329658
Alter do Chão;0;0;0;167,808224;17,558398;473,85828;0;0;1,257;0;660,481902
Alvaiázere;0;0;32,426;616,730882;198,764202;4915,66004;0;0;68,485;0;5832,066124
Alvito;0;0;0;31,942974;0;71,17068;0;0;0;0;103,113654
Amadora;0;0;460,91;20140,48487;719,71505;43104,93096;0;0;62,186;0;64488,22688
Amarante;0;0;59,795;2883,342966;738,175048;11172,5544;0;0;57,936;0;14911,80341
Amares;0;0;0;644,77153;97,988332;2745,35352;0;0;9,021;0;3497,134382
Anadia;0;0;0;1818,047506;260,991822;6257,69424;0;0;26,276;0,036;8363,045568
Angra do Heroismo;0;0;0;4808,92488;290,276428;9856,2282;0;0;14,328;0;14969,75751
Ansião;0;0;0;264,085492;152,347962;2199,8172;0;0;647,15;0;3263,400654
Arcos de Valdevez;0;0;18,804;1563,46307;220,805884;5958,99612;0;0;15,425;246,988;8024,482074
Arganil;0;0;0;664,716586;131,646138;2619,22836;0;0;195,795;8,8;3620,186084
Armamar;0;0;13,121;301,25345;32,733402;3229,31784;0;0;5,399;0;3581,824692
Arouca;0;0;0;1254,118504;154,122878;4800,28836;0;0;42,601;0;6251,130742
Arraiolos;0;0;0;309,814546;14,748994;1155,44352;0;0;1,47;0;1481,47706
Arronches;0;0;0;109,888038;0;396,4296;0;0;0;0;506,317638
Arruda dos Vinhos;0;0;49,76;756,427588;39,44231;4540,8342;0;0;294,203;0;5680,667098
Aveiro;0;0;731,054;15262,07009;1203,96778;65173,2464;0;0;389,719;110,32;82870,37727
Avis;0;0;18,224;520,628178;50,119134;1774,62264;0;0;52,471;0;2416,064952
Azambuja;1786,844;1114,032;453,515;9465,861958;796,47282;62360,74572;0;0;844,115;0;76821,5865
Baião;0;0;0;282,112582;131,0829;1919,9266;0;0;21,286;0;2354,408082
Barcelos;0;0;313,373;8079,533604;629,685758;30957,88096;0;0;125,997;9,518;40115,98832
Barrancos;0;0;0;21,746646;0;112,65576;0;0;0;0;134,402406
Barreiro;0;4,671;150,407;10983,99956;455,981114;35706,04296;0;0;141,053;0;47442,15463
Batalha;0;0;118,518;860,587838;174,587946;4701,5472;0;0;43,993;0;5899,233984
Beja;0;0;104,22;2057,668674;112,094164;10777,50904;236,40288;0;56,368;0;13344,26276
Belmonte;0;0;0;515,551648;56,917952;2286,1188;0;0;4,16;0;2862,7484
Benavente;0;0;110,253;1880,06174;93,774226;10763,44524;0;0;69,188;0;12916,72221
Bombarral;0;0;0;857,729912;104,619762;3730,1292;0;0;10,211;0;4702,689874
Borba;0;0;0;416,522386;57,289674;1486,296;0;0;0,181;0;1960,28906
Boticas;0;0;12,488;163,046506;62,428184;846,1866;0;0;0;0;1084,14929
Braga;0;0;610,085;19351,05574;1524,621176;80880,35616;0;0;770,197;162,95;103299,2651
Bragança;0;0;24,286;2699,327146;358,269132;16792,80204;0;0;73,348;4,206;19952,23832
Cabeceiras de Basto;0;0;42,816;684,858586;344,990438;4326,00524;0;0;3,415;0,176;5402,261264
Cadaval;0;0;0;545,678112;80,261038;2218,71972;0;0;10,411;0;2855,06987
Caldas da Rainha;0;0;382,155;6901,90994;633,148274;36749,02812;670,74924;0;164,944;0;45501,93457
Calheta (Açores);0;0;0;181,14372;8,149986;468,006;0;0;9,528;0;666,827706
Calheta (Madeira);0;0;0;291,49577;72,438288;654,4818;0;0;0,366;0;1018,781858
Câmara de Lobos;0;0;0;1825,311308;505,152856;3899,21868;0;0;11,293;0;6240,975844
Caminha;0;0;0;775,79897;45,6547;2480,0118;0;0;0,204;0;3301,66947
Campo Maior;0;0;0;209,420104;9,242532;1181,45076;0;0;0,256;0;1400,369396
Cantanhede;0;0;177,312;3102,557304;601,049592;15934,77648;0;0;584,076;0,223;20399,99438
Carrazeda de Ansiães;0;0;0;251,195358;115,25267;1307,00052;0;0;0,3;0;1673,748548
Carregal do Sal;0;0;55,349;970,74369;179,208458;3259,47384;0;0;1,211;0;4465,985988
Cartaxo;0;0;0;1311,797732;47,48315;3971,82324;0;0;1,382;0;5332,486122
Cascais;0;0;230,822;24540,43316;1359,265188;54170,83392;0;0;222,139;0;80523,49327
