Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Biodiesel;Grand Total
Abrantes;0;0;156,176;1658,912278;149,18153;8413,94064;0;20,363;0;10398,57345
Águeda;0;0;129,948;3734,362608;433,19185;15982,4238;0;1041,219;0;21321,14526
Aguiar da Beira;0;0;21,47;336,193106;72,445074;2229,89172;0;15,64;0;2675,6399
Alandroal;0;0;0;73,096064;0,757016;269,79204;0;0,885;0;344,53012
Albergaria-a-Velha;0;0;120,357;2308,613376;280,692132;14818,32996;405,07992;28,939;0;17962,01139
Albufeira;0;1,374;195,177;6224,565066;305,81806;17021,62476;0;25,743;0;23774,30189
Alcácer do Sal;0;0;0;1490,406544;135,59125;8920,44304;0;12,228;0;10558,66883
Alcanena;0;26,319;45,358;52552,15053;3862,47056;157110,9859;0;192,263;0,264;213789,811
Alcobaça;0;0;205,09;3322,215512;419,605524;18524,26548;0;178,192;3,344;22652,71252
Alcochete;0;0;216,041;2094,598658;94,209652;13746,14364;0;54,278;0,415;16205,68595
Alcoutim;0;0;0;109,82985;9,046492;496,32576;0;1,33;0;616,532102
Alenquer;0;0;8,855;2620,457788;144,566682;22362,71268;0;492,714;7,92;25637,22615
Alfândega da Fé;0;0;0;3282,49325;691,41046;15732,12648;0;0;0;19706,03019
Alijó;0;0;0;429,062646;107,197688;2308,17636;0;0,731;0;2845,167694
Aljezur;0;0;0;816,482826;94,609658;2328,2868;0;0;0;3239,379284
Aljustrel;0;0;17,565;964,910716;75,627708;5858,61368;0;56,83;0;6973,547104
Almada;0;3,271;155,379;14197,45275;564,234954;39548,12736;0;195,668;0,738;54664,87106
Almeida;0;0;0;130,690994;15,316756;1765,60524;0;0;0;1911,61299
Almeirim;0;0;227,044;4121,838738;318,155578;22982,55204;0;9,296;0;27658,88636
Almodôvar;0;0;23,24;934,937928;123,246578;4391,41836;0;1,961;0;5474,803866
Alpiarça;0;0;0;399,15849;37,030448;1548,0864;0;1,969;0;1986,244338
Alter do Chão;0;0;0,11;194,666462;18,85;539,31696;0;0,713;0;753,656422
Alvaiázere;0;10,36;0,236;539,23118;192,717876;5233,21848;0;55,655;0;6031,418536
Alvito;0;0;0;36,477162;0;634,92492;0;0;0;671,402082
Amadora;0;0;432,467;19262,72934;657,119662;36714,1278;0;62,599;0;57129,0428
Amarante;0;0;57,244;3456,981158;780,628264;12124,75068;0;25,475;0;16445,0791
Amares;0;0;0;707,366898;111,405376;3059,6076;0;11,008;0;3889,387874
Anadia;0;0;0;2052,580208;342,848324;6975,2886;0;23,598;0,174;9394,489132
Angra do Heroismo;0;0;0;5366,14585;328,135522;15945,86616;0;12,748;0;21652,89553
Ansião;0;0;0;269,909514;148,56816;2249,94672;0;584,25;0,051;3252,725394
Arcos de Valdevez;0;0;27,424;1512,870096;232,397126;5453,6916;0;5,848;245,246;7477,476822
Arganil;0;0;0;620,331824;118,715792;2290,35408;0;87,509;0;3116,910696
Armamar;0;0;12,793;319,073898;31,480254;3091,63344;0;0;0;3454,980592
Arouca;0;0;0;1363,482104;164,935992;5664,8592;0;40,061;0;7233,338296
Arraiolos;0;0;0;448,790616;25,89613;1529,74416;0;0;0;2004,430906
Arronches;0;0;0;114,456542;0;453,81924;0;0;0;568,275782
Arruda dos Vinhos;0;0;2,059;725,77594;50,289538;4892,33556;0;221,912;0;5892,372038
Aveiro;0;0;648,028;13554,53801;1016,608398;63090,62972;0;245,537;241,52;78796,86113
Avis;0;0;0;458,585596;46,377032;1670,08044;0;0;0;2175,043068
Azambuja;2060,696;1196,816;367,107;7721,333498;678,405652;74314,38252;0;751,754;0;87090,49467
Baião;0;0;0,055;371,911586;150,603206;2115,94284;0;11,134;0;2649,646632
Barcelos;0;0;297,628;9708,232882;803,497084;40335,34008;0;226,243;22,18;51393,12105
Barrancos;0;0;0;32,330148;0;142,67148;0;0;0;175,001628
Barreiro;0;4,801;192,037;13676,66194;644,554068;36687,00336;0;31,422;0;51236,47937
Batalha;0;0;101,136;928,851314;180,282154;4992,36192;0;25,403;0;6228,034388
Beja;0;0;117,106;2202,671678;131,778842;11217,6834;240,79692;38,023;0,45;13948,50984
Belmonte;0;0;0;500,05126;47,414536;2798,46252;0;13,224;0;3359,152316
Benavente;0;0;125,964;2061,009262;108,839146;11396,29112;0;124,153;0;13816,25653
Bombarral;0;0;0;884,709748;118,033422;3854,83728;0;6,578;0;4864,15845
Borba;0;0;0;434,926952;72,924618;1670,77176;0;1,183;0;2179,80633
Boticas;0;0;12,851;187,60781;66,437956;900,53796;0;0;0;1167,434726
Braga;0;0;585,854;20752,57191;1620,878324;81058,99108;0;906,127;578,487;105502,9093
Bragança;0;0;22,741;2872,866888;404,923066;20747,60184;0;62,84;0;24110,97279
Cabeceiras de Basto;0;0;20,676;638,5014;366,244944;3667,28344;0;2,435;0;4695,140784
Cadaval;0;0;0;564,47582;86,119618;2617,87512;0;11,015;0;3279,485558
