Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Biodiesel;Grand Total
Castro d’Aire;0;0;15,196;769,295342;136,582576;4471,6602;0;5,467;0;5398,201118
Castro Marim;0;0;0;413,721902;1,504984;1701,32844;0;0,614;0;2117,169326
Castro Verde;0;0;0;401,263702;139,296222;3212,5716;0;1,73;0;3754,861524
Celorico da Beira;0;0;0;360,00468;46,438106;3001,5262;0;0,187;0;3408,155986
Celorico de Basto;0;0;5,256;786,141514;99,944962;3739,1214;0;4,758;0;4635,221876
Chamusca;0;0;0;546,764288;38,395188;3991,77912;0;12,853;0;4589,791596
Chaves;0;1,632;50,53;1683,88612;122,209074;12390,20664;0;8,042;0,039;14256,54483
Cinfães;0;0;0;698,68495;101,280296;3260,26932;0;2,835;0;4063,069566
Coimbra;0;0;1497,033;14051,54559;948,628512;67381,44628;0;132,581;34,46;84045,69438
Condeixa-a-Nova;0;0;87,518;789,911052;57,871762;9659,52288;0;3,475;0;10598,29869
Constância;0;0;0;144,729222;1,516294;1240,218;0;0;0;1386,463516
Coruche;0;0;0;991,86668;133,53717;6614,91448;0;5,265;0;7745,58333
Corvo;0;0;0;20,453082;0;65,62332;0;0;0;86,076402
Covilhã;0;0;31,218;2695,862722;199,39153;10920,97944;0;5,473;0;13852,92469
Crato;0;0;0;314,588946;2,261246;1209,3438;0;0;0;1526,193992
Cuba;0;0;0;292,51406;0;1467,26748;0;0;0;1759,78154
Elvas;0;0;24,144;802,8452;51,973974;9333,13332;0;20,951;0;10233,04749
Entroncamento;0;0;0;1240,551748;119,47507;3465,28896;1018,77468;6,811;0;5850,901458
Espinho;0;0;13,611;3142,152746;218,88997;6672,02088;0;5,656;0;10052,3306
Esposende;0;0;73,929;3544,006534;253,403566;13960,57068;0;22,512;0;17854,42178
Estarreja;0;0;198,836;2453,020326;244,25453;10813,85172;0;12,48;0;13722,44258
Estremoz;0;0;47,805;1070,145206;235,107756;16825,20504;0;30,736;0;18208,999
Évora;0;0;138,514;4698,129706;236,633098;21553,27404;0;84,092;0;26710,64284
Fafe;0;0;0,495;2967,03969;404,628068;15594,45888;0;692,194;0;19658,81564
Faro;0;0;449,084;12535,18571;607,22636;37411,5972;1184,7822;161,329;0;52349,20447
Feira;0;0;311,954;8228,770158;853,356088;35938,36428;0;215,142;0,794;45548,38053
